"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.414987500E0,1.665000021E-1,1.604999900E-1,-3.999999724E-3
2.435010938E0,8.999999613E-3,2.483999878E-1,-1.256999969E-1
2.465012500E0,-1.808999926E-1,1.596999913E-1,-1.398999989E-1
2.495014063E0,-1.516000032E-1,1.693999916E-1,-2.539999969E-2
2.525017188E0,-9.129999578E-2,2.229999937E-2,3.999999899E-4
2.555018750E0,9.250000119E-2,3.219999745E-2,-4.059999809E-2
2.575046875E0,2.175999880E-1,1.005999967E-1,-2.019999921E-2
2.605010938E0,3.660999835E-1,8.039999753E-2,1.949999928E-1
2.635014063E0,3.792999983E-1,1.049999986E-2,3.173999786E-1
2.665015625E0,5.389999971E-2,1.009999961E-2,3.281999826E-1
2.695017188E0,-3.190000057E-1,1.377999932E-1,2.290999889E-1
2.724987500E0,-8.398999572E-1,2.753999829E-1,1.323999912E-1
2.745010938E0,-1.092000008E0,2.173999995E-1,1.331999898E-1
2.775012500E0,-1.007799983E0,1.399999950E-2,2.865000069E-1
2.805014063E0,-5.546000004E-1,-1.021999940E-1,3.355999887E-1
2.835015625E0,6.219999865E-2,8.529999852E-2,2.955999970E-1
2.865018750E0,5.823999643E-1,1.642999947E-1,3.673999906E-1
2.894989063E0,7.012000084E-1,1.230999976E-1,4.080999792E-1
2.915010938E0,6.092999578E-1,7.299999893E-2,4.095999897E-1
2.945014063E0,3.043999970E-1,1.206000000E-1,3.511999846E-1
2.975015625E0,-1.525000036E-1,1.004999951E-1,1.809999943E-1
3.005017188E0,-5.386999846E-1,2.190000005E-2,3.689999878E-2
3.034987500E0,-5.142999887E-1,2.290999889E-1,5.139999837E-2
3.055010938E0,-3.299999833E-1,2.197999954E-1,3.189999983E-2
3.085012500E0,-7.609999925E-2,-1.913999915E-1,1.039999947E-1
3.115014063E0,1.885000020E-1,-1.419999897E-1,1.449999958E-2
3.145017188E0,2.782999873E-1,9.219999611E-2,-6.119999662E-2
3.175018750E0,1.321000010E-1,1.004999951E-1,6.019999832E-2
3.204987500E0,-1.300000004E-3,1.583999991E-1,1.890999973E-1
3.225012500E0,-8.989999443E-2,2.171999961E-1,2.119999975E-1
3.255012500E0,4.399999976E-3,1.783999950E-1,2.082999945E-1
3.285015625E0,2.663999796E-1,3.139999881E-2,2.899000049E-1
3.315017188E0,4.101999998E-1,3.099999949E-2,3.932999969E-1
3.344989063E0,3.734999895E-1,3.049999848E-2,4.016000032E-1
3.365010938E0,1.028999984E-1,1.280999929E-1,3.974999785E-1
3.395012500E0,-6.069999933E-2,7.899999619E-2,2.513000071E-1
3.425014063E0,-1.469999999E-1,6.859999895E-2,6.849999726E-2
3.455017188E0,-2.675999999E-1,1.765999943E-1,7.509999722E-2
3.485018750E0,-2.628000081E-1,1.571999937E-1,2.133999914E-1
3.514989063E0,-2.795000076E-1,1.093999967E-1,1.512999982E-1
3.535010938E0,-2.886999846E-1,1.002999991E-1,1.053999960E-1
3.565012500E0,-2.750000060E-1,1.008000001E-1,-4.699999839E-2
3.595015625E0,-3.043999970E-1,5.219999701E-2,-8.889999986E-2
3.625017188E0,-2.047999948E-1,-9.479999542E-2,5.079999939E-2
3.654989063E0,-5.779999867E-2,-1.041999981E-1,7.259999961E-2
3.675010938E0,-4.769999906E-2,1.209999993E-1,-2.089999989E-2
3.705012500E0,-1.303000003E-1,2.084999979E-1,-6.179999933E-2
3.735014063E0,-2.293999940E-1,1.008000001E-1,-2.459999919E-2
3.765017188E0,-1.963000000E-1,-6.570000201E-2,4.149999842E-2
3.795018750E0,-2.322999984E-1,9.160000086E-2,6.340000033E-2
3.824989063E0,-2.442999929E-1,1.212999970E-1,6.929999590E-2
3.845012500E0,-1.772999913E-1,1.215999946E-1,7.239999622E-2
3.875014063E0,-4.699999839E-2,9.290000051E-2,1.723999977E-1
3.905015625E0,-6.570000201E-2,6.409999728E-2,1.828999966E-1
3.935017188E0,-1.242999956E-1,1.579999924E-2,2.585999966E-1
3.964989063E0,-6.049999967E-2,6.520000100E-2,2.913999856E-1
3.985010938E0,1.119999960E-2,9.489999712E-2,2.485999912E-1
4.015012500E0,2.389999852E-2,1.343999952E-1,2.195999920E-1
4.045015625E0,3.629999980E-2,1.247999966E-1,1.662999988E-1
4.075017188E0,3.639999777E-2,1.838999987E-1,7.000000030E-2
4.105018750E0,4.639999941E-2,1.056999937E-1,-3.949999809E-2
4.134990625E0,-2.109999955E-2,7.799999788E-3,-1.136000007E-1
4.155012500E0,-7.689999789E-2,1.789999940E-2,-7.849999517E-2
4.185014063E0,-1.555999964E-1,1.850000024E-2,-5.899999756E-3
4.215015625E0,-1.782999933E-1,-5.909999833E-2,9.659999609E-2
4.245017188E0,-7.369999588E-2,9.300000034E-3,9.769999981E-2
4.274989063E0,1.850000024E-2,6.790000200E-2,1.700000018E-1
4.295010938E0,-1.199999941E-3,1.559000015E-1,2.232999951E-1
4.325012500E0,-1.555999964E-1,1.753000021E-1,2.410999984E-1
4.355015625E0,-2.374999970E-1,8.779999614E-2,1.409000009E-1
4.375028125E0,-2.064999938E-1,8.850000054E-2,1.308999956E-1
