"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.230001563E0,4.031710699E-2,5.497787148E-2,1.588249579E-2
2.254998438E0,2.321287990E-2,-1.954768784E-2,-1.221730467E-2
2.279995313E0,2.199114859E-2,-9.407324344E-2,-2.565634064E-2
2.300017188E0,1.832595654E-2,-1.136209369E-1,-2.199114859E-2
2.325012500E0,1.710422710E-2,-1.282816976E-1,-1.954768784E-2
2.350010938E0,1.954768784E-2,-1.380555481E-1,-1.343903504E-2
2.375009375E0,-1.221730490E-3,-9.040805697E-2,-2.443460980E-3
2.400003125E0,-1.221730467E-2,-4.520402849E-2,6.108652335E-3
2.425000000E0,-2.809980139E-2,-2.687807009E-2,2.321287990E-2
2.449995313E0,-2.565634064E-2,-4.886921868E-2,3.787364438E-2
2.470017188E0,-2.932153083E-2,-9.407324344E-2,4.276056588E-2
2.495014063E0,-2.809980139E-2,-1.747074574E-1,9.773843922E-3
2.520012500E0,-4.031710699E-2,-2.406809032E-1,-2.565634064E-2
2.545007813E0,-6.475171447E-2,-2.944370508E-1,-4.276056588E-2
2.570004688E0,-6.230825558E-2,-2.724458873E-1,-3.665191308E-2
2.595000000E0,-3.665191308E-2,-2.101376355E-1,-1.832595654E-2
2.619996875E0,2.443460980E-3,-1.527163088E-1,-2.443460980E-3
2.640018750E0,1.710422710E-2,-1.185078546E-1,3.665191354E-3
2.665015625E0,1.588249579E-2,-9.162978828E-2,3.665191354E-3
2.690012500E0,1.710422710E-2,-8.307766914E-2,1.954768784E-2
2.715007813E0,-1.221730467E-2,-1.331686229E-1,3.054326214E-2
2.740006250E0,-4.886921868E-2,-2.211332172E-1,3.176499158E-2
2.765001563E0,-5.253440887E-2,-3.384193480E-1,8.552113548E-3
2.789998438E0,-4.642575979E-2,-4.361577928E-1,-1.954768784E-2
2.814993750E0,-3.665191308E-2,-5.241223574E-1,-5.742133036E-2
2.835015625E0,-1.710422710E-2,-5.119050741E-1,-7.819075137E-2
2.860014063E0,0.000000000E0,-4.532620013E-1,-6.963863969E-2
2.880025000E0,-2.443460980E-3,-3.909537494E-1,-3.420845419E-2
2.905000000E0,-1.588249579E-2,-3.335324228E-1,1.221730467E-2
2.929996875E0,-3.054326214E-2,-2.638937831E-1,4.642575979E-2
2.954993750E0,-2.565634064E-2,-1.918116808E-1,4.642575979E-2
2.975015625E0,-3.176499158E-2,-1.624901593E-1,4.642575979E-2
3.000012500E0,-4.764748737E-2,-1.734857261E-1,3.787364438E-2
3.025007813E0,-5.253440887E-2,-2.125810981E-1,3.176499158E-2
3.050006250E0,-5.497787148E-2,-2.028072625E-1,-8.552113548E-3
3.075001563E0,-8.429940045E-2,-1.368338168E-1,-3.665191308E-2
3.099998438E0,-8.796459436E-2,-8.185594529E-2,-3.909537569E-2
3.124993750E0,-3.543018550E-2,-2.687807009E-2,-7.330382708E-3
3.145017188E0,2.443460980E-3,0.000000000E0,3.054326214E-2
3.170014063E0,2.687807009E-2,7.330382708E-3,4.642575979E-2
3.195009375E0,4.153883457E-2,2.199114859E-2,2.565634064E-2
3.220006250E0,2.199114859E-2,5.497787148E-2,-3.665191354E-3
3.245001563E0,-2.687807009E-2,6.841690838E-2,-1.832595654E-2
3.270000000E0,-4.886921868E-2,8.063421398E-2,-1.343903504E-2
3.294995313E0,-4.520402849E-2,1.209513173E-1,1.221730490E-3
3.315017188E0,-2.932153083E-2,1.832595766E-1,2.443460980E-3
3.340014063E0,-1.710422710E-2,2.663372457E-1,7.330382708E-3
3.365010938E0,1.710422710E-2,3.995058537E-1,3.298672289E-2
3.390007813E0,2.565634064E-2,4.166100919E-1,3.543018550E-2
3.415003125E0,2.687807009E-2,4.349360466E-1,4.031710699E-2
3.440000000E0,1.099557430E-2,4.300491214E-1,3.054326214E-2
3.460028125E0,-6.108652335E-3,4.080579877E-1,1.588249579E-2
3.485018750E0,-3.298672289E-2,3.176499307E-1,-2.443460980E-3
3.510015625E0,-6.597344577E-2,2.052507252E-1,-9.773843922E-3
3.535010938E0,-8.185594529E-2,1.356120855E-1,4.886921961E-3
3.560009375E0,-6.230825558E-2,1.319468915E-1,2.199114859E-2
3.585003125E0,-4.520402849E-2,1.673770696E-1,2.443460934E-2
3.610001563E0,-3.543018550E-2,1.991420686E-1,9.773843922E-3
3.634996875E0,-7.330382708E-3,2.199114859E-1,-1.343903504E-2
3.659995313E0,2.321287990E-2,2.467895597E-1,-8.552113548E-3
3.680017188E0,2.809980139E-2,2.480112910E-1,-1.221730490E-3
3.705012500E0,6.108652335E-3,2.284636050E-1,7.330382708E-3
3.730009375E0,-2.443460980E-3,2.162462920E-1,1.466076542E-2
3.755006250E0,1.343903504E-2,2.003637999E-1,1.221730467E-2
3.780003125E0,1.099557430E-2,1.661553383E-1,8.552113548E-3
3.804998438E0,3.665191354E-3,1.588249654E-1,-6.108652335E-3
3.829995313E0,4.886921961E-3,1.710422635E-1,-1.221730467E-2
3.850017188E0,-3.665191354E-3,1.685988009E-1,-1.588249579E-2
3.875014063E0,2.443460980E-3,1.514945775E-1,-1.832595654E-2
3.900010938E0,1.099557430E-2,1.319468915E-1,-9.773843922E-3
3.925006250E0,9.773843922E-3,9.651670605E-2,4.886921961E-3
3.950003125E0,1.099557430E-2,5.864306167E-2,-1.221730490E-3
3.975000000E0,2.076941729E-2,1.954768784E-2,-9.773843922E-3
3.999996875E0,1.466076542E-2,9.773843922E-3,-1.221730467E-2
4.020018750E0,1.099557430E-2,0.000000000E0,-1.099557430E-2
4.045015625E0,-2.443460980E-3,-1.588249579E-2,-1.343903504E-2
4.070010938E0,-2.199114859E-2,-2.076941729E-2,-9.773843922E-3
4.095007813E0,-3.665191308E-2,-3.298672289E-2,-3.665191354E-3
4.120004688E0,-3.787364438E-2,-4.520402849E-2,-2.443460980E-3
4.145000000E0,-2.809980139E-2,-4.153883457E-2,1.221730490E-3
4.169998438E0,-2.443460980E-3,-2.932153083E-2,-3.665191354E-3
4.194993750E0,2.809980139E-2,-1.588249579E-2,-7.330382708E-3
4.215015625E0,5.131268129E-2,-1.588249579E-2,-4.886921961E-3
4.240012500E0,8.918632567E-2,1.954768784E-2,-9.773843922E-3
4.265009375E0,1.087340117E-1,5.986479297E-2,-9.773843922E-3
4.290006250E0,9.285151958E-2,6.963863969E-2,-1.221730490E-3
4.315001563E0,7.696902007E-2,7.941248268E-2,7.330382708E-3
4.339998438E0,6.719517708E-2,7.574728876E-2,6.108652335E-3
4.364995313E0,1.832595654E-2,1.466076542E-2,-1.466076542E-2
4.385015625E0,4.886921961E-3,-3.665191354E-3,-2.076941729E-2
4.410014063E0,4.886921961E-3,-2.687807009E-2,-2.443460934E-2
4.435009375E0,1.221730467E-2,-1.832595654E-2,-1.954768784E-2
4.460006250E0,-1.588249579E-2,-4.886921961E-3,-8.552113548E-3
4.485003125E0,-3.543018550E-2,2.687807009E-2,9.773843922E-3
4.510000000E0,-3.665191308E-2,6.230825558E-2,2.443460980E-3
4.534995313E0,-1.221730467E-2,6.230825558E-2,1.710422710E-2
4.555018750E0,1.466076542E-2,4.764748737E-2,1.588249579E-2
4.580015625E0,4.398229718E-2,5.497787148E-2,-2.443460980E-3
4.605010938E0,3.909537569E-2,5.864306167E-2,-4.886921961E-3
4.630006250E0,3.543018550E-2,2.076941729E-2,1.221730490E-3
4.655003125E0,4.520402849E-2,-2.321287990E-2,-2.443460980E-3
4.680000000E0,5.009094998E-2,-3.176499158E-2,-2.443460980E-3
4.704996875E0,4.764748737E-2,-2.443460934E-2,1.221730490E-3
4.729993750E0,4.031710699E-2,-2.932153083E-2,7.330382708E-3
4.750015625E0,3.543018550E-2,-4.520402849E-2,6.108652335E-3
4.775012500E0,4.642575979E-2,-4.886921868E-2,-1.221730490E-3
4.800009375E0,2.565634064E-2,-6.108652428E-2,-3.665191354E-3
4.825004688E0,-3.176499158E-2,-8.185594529E-2,-9.773843922E-3
4.850001563E0,-5.619960278E-2,-8.185594529E-2,-1.954768784E-2
4.875001563E0,-6.352998316E-2,-7.574728876E-2,-1.954768784E-2
4.899995313E0,-7.086037099E-2,-7.330382615E-2,-7.330382708E-3
4.920017188E0,-6.108652428E-2,-6.841690838E-2,-1.221730490E-3
4.945012500E0,-3.543018550E-2,-2.687807009E-2,-4.886921961E-3
4.970010938E0,-3.665191354E-3,0.000000000E0,-9.773843922E-3
4.995006250E0,4.886921868E-2,1.099557430E-2,-1.588249579E-2
5.020003125E0,7.086037099E-2,1.954768784E-2,2.443460980E-3
5.044998438E0,8.063421398E-2,3.420845419E-2,1.588249579E-2
5.069996875E0,8.185594529E-2,3.420845419E-2,6.108652335E-3
5.090018750E0,6.719517708E-2,2.076941729E-2,-4.886921961E-3
