"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.450000000E0,2.668750000E1,-3.993750000E1,-5.625000000E0
2.480001562E0,2.681250000E1,-3.918750000E1,-6.375000000E0
2.509973437E0,2.762500000E1,-3.862500000E1,-7.500000000E0
2.529993750E0,2.837500000E1,-3.868750000E1,-7.125000000E0
2.559996875E0,2.781250000E1,-3.825000000E1,-6.812500000E0
2.589998437E0,2.731250000E1,-3.912500000E1,-5.812500000E0
2.620001562E0,2.650000000E1,-3.975000000E1,-3.500000000E0
2.650003125E0,2.581250000E1,-3.943750000E1,-2.437500000E0
2.679973437E0,2.537500000E1,-3.993750000E1,-2.375000000E0
2.699995312E0,2.543750000E1,-4.006250000E1,-2.250000000E0
2.729996875E0,2.637500000E1,-3.925000000E1,-3.125000000E0
2.759998437E0,2.675000000E1,-3.900000000E1,-3.875000000E0
2.790000000E0,2.725000000E1,-3.881250000E1,-3.812500000E0
2.819971875E0,2.725000000E1,-3.912500000E1,-2.125000000E0
2.839993750E0,2.687500000E1,-3.975000000E1,-6.875000000E-1
2.869995312E0,2.606250000E1,-3.975000000E1,1.062500000E0
2.899998437E0,2.462500000E1,-4.068750000E1,3.250000000E0
2.920003125E0,2.406250000E1,-4.137500000E1,4.812500000E0
2.949992187E0,2.350000000E1,-4.062500000E1,6.625000000E0
2.979993750E0,2.300000000E1,-3.993750000E1,7.500000000E0
3.009995312E0,2.362500000E1,-3.987500000E1,8.562500000E0
3.039996875E0,2.350000000E1,-3.993750000E1,9.375000000E0
3.069998437E0,2.337500000E1,-3.925000000E1,1.187500000E1
3.100001562E0,2.368750000E1,-3.887500000E1,1.493750000E1
3.129971875E0,2.362500000E1,-3.768750000E1,1.525000000E1
3.149993750E0,2.368750000E1,-3.731250000E1,1.531250000E1
3.179995312E0,2.437500000E1,-3.756250000E1,1.662500000E1
3.209998437E0,2.550000000E1,-3.712500000E1,1.587500000E1
3.240000000E0,2.600000000E1,-3.718750000E1,1.518750000E1
3.270001562E0,2.568750000E1,-3.793750000E1,1.318750000E1
3.299973437E0,2.456250000E1,-3.918750000E1,1.018750000E1
3.319995312E0,2.350000000E1,-4.018750000E1,9.250000000E0
3.349998437E0,2.268750000E1,-4.100000000E1,7.812500000E0
3.380000000E0,2.325000000E1,-4.031250000E1,4.625000000E0
3.410000000E0,2.450000000E1,-4.100000000E1,6.875000000E-1
3.439973437E0,2.481250000E1,-4.056250000E1,-2.312500000E0
3.459995312E0,2.518750000E1,-4.031250000E1,-4.437500000E0
3.489996875E0,2.625000000E1,-3.918750000E1,-5.750000000E0
3.519998437E0,2.643750000E1,-3.893750000E1,-6.625000000E0
3.550000000E0,2.718750000E1,-3.868750000E1,-7.562500000E0
3.579971875E0,2.718750000E1,-3.893750000E1,-7.375000000E0
3.599992187E0,2.731250000E1,-3.862500000E1,-7.125000000E0
3.629995312E0,2.725000000E1,-3.906250000E1,-6.437500000E0
3.659998437E0,2.712500000E1,-3.937500000E1,-3.937500000E0
3.690000000E0,2.600000000E1,-4.031250000E1,-2.062500000E0
3.720001562E0,2.537500000E1,-4.037500000E1,-1.250000000E0
3.749971875E0,2.556250000E1,-3.937500000E1,-1.500000000E0
3.769995312E0,2.606250000E1,-3.887500000E1,-2.875000000E0
3.799996875E0,2.662500000E1,-3.831250000E1,-4.437500000E0
3.829998437E0,2.656250000E1,-3.831250000E1,-4.312500000E0
3.860000000E0,2.643750000E1,-3.918750000E1,-3.562500000E0
3.889970312E0,2.675000000E1,-3.968750000E1,-2.312500000E0
3.909992187E0,2.650000000E1,-3.943750000E1,-1.125000000E0
3.939995312E0,2.625000000E1,-3.987500000E1,2.500000000E-1
3.969996875E0,2.531250000E1,-4.075000000E1,2.562500000E0
4.000000000E0,2.406250000E1,-4.043750000E1,4.437500000E0
4.030001562E0,2.406250000E1,-4.006250000E1,6.250000000E0
4.059971875E0,2.400000000E1,-4.087500000E1,8.062500000E0
4.079993750E0,2.375000000E1,-4.037500000E1,8.375000000E0
4.109996875E0,2.393750000E1,-3.925000000E1,9.937500000E0
4.139998437E0,2.406250000E1,-3.900000000E1,1.262500000E1
4.170000000E0,2.418750000E1,-3.862500000E1,1.387500000E1
4.199971875E0,2.443750000E1,-3.825000000E1,1.518750000E1
4.219993750E0,2.443750000E1,-3.825000000E1,1.612500000E1
4.249995312E0,2.581250000E1,-3.775000000E1,1.562500000E1
4.279998437E0,2.700000000E1,-3.712500000E1,1.537500000E1
4.310000000E0,2.662500000E1,-3.768750000E1,1.518750000E1
4.340001562E0,2.500000000E1,-3.825000000E1,1.331250000E1
4.369973437E0,2.418750000E1,-3.906250000E1,1.037500000E1
4.389995312E0,2.325000000E1,-3.931250000E1,8.250000000E0
