"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.085000000E0,-4.979939461E-1,-8.619126081E-1,9.777919769E0
2.109995313E0,-4.884171486E-1,-9.002198577E-1,9.768342972E0
2.135012500E0,-4.596867263E-1,-8.714894056E-1,9.806650162E0
2.155014063E0,-4.596867263E-1,-8.810662031E-1,9.835380554E0
2.180010938E0,-4.309563041E-1,-8.714894056E-1,9.806650162E0
2.205007813E0,-4.118026793E-1,-8.906430602E-1,9.768342972E0
2.230003125E0,-4.213795066E-1,-9.097966552E-1,9.777919769E0
2.255001563E0,-4.501099288E-1,-8.619126081E-1,9.787496567E0
2.279996875E0,-4.501099288E-1,-8.427590132E-1,9.797073364E0
2.304993750E0,-4.596867263E-1,-8.140285611E-1,9.797073364E0
2.325015625E0,-4.501099288E-1,-8.619126081E-1,9.758766174E0
2.350012500E0,-4.692635238E-1,-9.002198577E-1,9.768342972E0
2.375009375E0,-4.596867263E-1,-9.002198577E-1,9.777919769E0
2.400004688E0,-4.692635238E-1,-8.906430602E-1,9.816226959E0
2.425001563E0,-4.692635238E-1,-8.619126081E-1,9.797073364E0
2.449998438E0,-4.692635238E-1,-8.810662031E-1,9.806650162E0
2.474995313E0,-4.405331016E-1,-8.810662031E-1,9.768342972E0
2.499990625E0,-4.405331016E-1,-8.906430602E-1,9.825803757E0
2.520014063E0,-4.501099288E-1,-8.714894056E-1,9.777919769E0
2.545010938E0,-4.596867263E-1,-8.523358107E-1,9.787496567E0
2.570006250E0,-4.692635238E-1,-8.906430602E-1,9.797073364E0
2.595003125E0,-4.405331016E-1,-8.810662031E-1,9.787496567E0
2.619998438E0,-4.692635238E-1,-8.810662031E-1,9.806650162E0
2.644995313E0,-4.692635238E-1,-8.906430602E-1,9.787496567E0
2.669992188E0,-4.501099288E-1,-8.906430602E-1,9.777919769E0
2.690014063E0,-4.692635238E-1,-8.906430602E-1,9.758766174E0
2.715010938E0,-4.979939461E-1,-8.810662031E-1,9.777919769E0
2.735048438E0,-4.884171486E-1,-8.906430602E-1,9.797073364E0
2.759998438E0,-4.692635238E-1,-9.002198577E-1,9.816226959E0
2.784995313E0,-4.405331016E-1,-8.906430602E-1,9.787496567E0
2.809990625E0,-4.596867263E-1,-8.236053586E-1,9.825803757E0
2.830012500E0,-4.501099288E-1,-8.331822157E-1,9.787496567E0
2.855010938E0,-4.213795066E-1,-8.523358107E-1,9.777919769E0
2.880006250E0,-4.405331016E-1,-9.385270476E-1,9.787496567E0
2.905003125E0,-4.788403511E-1,-9.385270476E-1,9.777919769E0
2.930000000E0,-4.979939461E-1,-8.810662031E-1,9.787496567E0
2.954995313E0,-4.692635238E-1,-8.714894056E-1,9.806650162E0
2.979992188E0,-4.405331016E-1,-8.523358107E-1,9.787496567E0
