"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.520014063E0,1.700999886E-1,1.782899976E0,3.030000031E-1
2.550015625E0,1.407999992E-1,1.701200008E0,3.113999963E-1
2.579985938E0,1.401999891E-1,1.532499909E0,3.254999816E-1
2.600007813E0,1.347000003E-1,1.508999944E0,3.093000054E-1
2.630010938E0,1.199999973E-1,1.448799968E0,2.942000031E-1
2.660012500E0,1.102999970E-1,1.343699932E0,2.663999796E-1
2.690014063E0,1.070999950E-1,1.260399938E0,2.048999965E-1
2.719985938E0,8.819999546E-2,1.177299976E0,1.818999946E-1
2.740007813E0,8.449999988E-2,1.100299954E0,2.206999958E-1
2.770009375E0,1.198999956E-1,1.083799958E0,1.914999932E-1
2.800010938E0,1.015999988E-1,1.015399933E0,1.735000014E-1
2.830012500E0,9.690000117E-2,9.914999604E-1,1.649999917E-1
2.860015625E0,1.164999977E-1,8.702999949E-1,1.296999902E-1
2.889985938E0,7.310000062E-2,7.670999765E-1,1.428999901E-1
2.910007813E0,7.079999894E-2,7.536000013E-1,1.468999982E-1
2.940010938E0,7.440000027E-2,7.274999619E-1,1.061000004E-1
2.970012500E0,6.219999865E-2,7.049999833E-1,1.005999967E-1
3.000014063E0,7.499999553E-2,6.632999778E-1,1.002999991E-1
3.029985938E0,7.180000097E-2,6.060000062E-1,1.154999956E-1
3.050006250E0,4.259999841E-2,5.956000090E-1,7.279999554E-2
3.080009375E0,2.080000006E-2,5.363000035E-1,5.559999868E-2
3.110010938E0,6.819999963E-2,5.040999651E-1,5.229999870E-2
3.140014063E0,6.289999932E-2,4.523999989E-1,5.599999800E-2
3.170015625E0,6.019999832E-2,4.429000020E-1,4.339999706E-2
3.199985938E0,5.570000038E-2,4.239999950E-1,8.599999361E-3
3.220007813E0,2.529999986E-2,4.057999849E-1,-3.499999875E-3
3.250010938E0,2.379999869E-2,3.605999947E-1,3.350000083E-2
3.280012500E0,3.049999848E-2,3.292999864E-1,1.960000023E-2
3.310014063E0,1.950000040E-2,3.439999819E-1,3.729999810E-2
3.339985938E0,5.570000038E-2,3.237999976E-1,1.379999984E-2
3.360007813E0,-2.799999900E-3,3.188999891E-1,2.300000051E-3
3.390009375E0,2.499999851E-2,2.486999929E-1,-1.860000007E-2
3.420010938E0,5.099999905E-2,2.468999922E-1,2.759999968E-2
3.450014063E0,5.769999698E-2,2.926000059E-1,2.599999867E-2
3.480015625E0,4.419999942E-2,2.575999796E-1,1.310000010E-2
3.509985938E0,6.369999796E-2,1.984999925E-1,-7.499999832E-3
3.530009375E0,2.249999903E-2,1.607999951E-1,2.080000006E-2
3.560010938E0,-7.999999449E-3,1.643999964E-1,-1.609999873E-2
3.590012500E0,-7.599999662E-3,1.759999990E-1,2.499999944E-3
3.620014063E0,2.119999938E-2,1.784999967E-1,-8.999999613E-3
3.649985938E0,2.080000006E-2,1.908999979E-1,-1.960000023E-2
3.670007813E0,1.989999972E-2,1.541000009E-1,-1.059999969E-2
3.700007813E0,1.829999872E-2,1.596999913E-1,-2.300000051E-3
3.730010938E0,2.759999968E-2,1.231999993E-1,2.620000020E-2
3.760014063E0,2.649999969E-2,1.031999961E-1,1.529999916E-2
3.790015625E0,5.389999971E-2,1.286000013E-1,-2.429999970E-2
3.819985938E0,-1.559999958E-2,1.362999976E-1,-5.489999801E-2
3.840009375E0,-2.419999987E-2,7.409999520E-2,-1.599999890E-2
3.870010938E0,5.799999926E-3,4.270000011E-2,4.259999841E-2
3.900012500E0,3.280000016E-2,-2.669999935E-2,2.279999852E-2
3.930014063E0,5.089999735E-2,2.329999954E-2,4.239999875E-2
3.959985938E0,4.659999907E-2,1.140999943E-1,-1.719999872E-2
3.980007813E0,3.519999981E-2,1.089999974E-1,2.129999921E-2
4.010009375E0,3.799999831E-3,7.599999756E-2,2.089999989E-2
4.040010938E0,-4.329999909E-2,1.439999975E-2,-8.599999361E-3
4.070014063E0,-5.150000006E-2,4.259999841E-2,2.759999968E-2
4.100014063E0,-9.499999695E-3,1.508999914E-1,-2.499999944E-3
4.129985938E0,-6.489999592E-2,1.241999939E-1,-3.000000026E-3
4.150009375E0,-1.190999970E-1,5.069999769E-2,-1.299999934E-2
4.180010938E0,-2.589999884E-2,2.819999866E-2,2.609999850E-2
4.210012500E0,-1.539999992E-2,6.529999524E-2,-3.280000016E-2
4.240014063E0,4.699999932E-3,5.059999973E-2,-3.899999894E-3
4.269985938E0,6.250000000E-2,3.959999979E-2,-5.309999734E-2
4.290007813E0,9.899999946E-2,2.899999917E-2,-1.399999950E-2
4.320009375E0,5.379999802E-2,-3.959999979E-2,-2.410000004E-2
4.350014063E0,-1.409999933E-2,-1.218999997E-1,-1.370000001E-2
4.380014063E0,1.539999992E-2,-2.789999917E-2,4.559999704E-2
4.409984375E0,1.292999983E-1,8.649999648E-2,1.569999941E-2
4.430006250E0,2.478999943E-1,9.169999510E-2,-1.449999958E-2
4.460007813E0,2.987000048E-1,-5.499999970E-2,1.359999925E-2
4.490010938E0,2.478999943E-1,-3.280000016E-2,1.212999970E-1
4.520012500E0,3.229999915E-2,9.899999946E-2,1.105999947E-1
4.550015625E0,-1.017999947E-1,1.031999961E-1,-8.590000123E-2
4.579984375E0,-3.407000005E-1,9.559999406E-2,-2.325999886E-1
4.600007813E0,-3.905999959E-1,3.579999879E-2,-1.827999949E-1
4.630009375E0,-3.150999844E-1,-7.059999555E-2,7.299999893E-2
4.660010938E0,-1.405999959E-1,-4.719999805E-2,1.623999923E-1
4.690014063E0,3.610000014E-2,2.039999887E-2,-2.101999968E-1
4.719984375E0,6.549999863E-2,-1.697999984E-1,-1.601999998E-1
4.740007813E0,1.825999916E-1,1.049999986E-2,3.529999778E-2
4.770009375E0,4.373999834E-1,6.204000115E-1,2.099999934E-1
4.800009375E0,5.196999907E-1,8.920999765E-1,1.271999925E-1
