"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.155542708E0,1.770287395E0,-4.056145251E-1,9.529497474E-2
2.183819270E0,2.048841953E0,-7.012732625E-1,1.404990107E-1
2.203854166E0,2.092824221E0,-6.096435189E-1,9.285151958E-2
2.223957812E0,1.901012659E0,-3.848451078E-1,5.253440887E-2
2.244014062E0,1.479515553E0,-3.298672140E-1,2.480112910E-1
2.265743749E0,8.539896011E-1,-2.309070528E-1,4.105014503E-1
2.294293749E0,-6.316346526E-1,1.576032341E-1,4.630358517E-1
2.315789583E0,-2.247984171E0,4.886921868E-2,4.410446882E-1
2.336471353E0,-3.602883101E0,2.260201424E-1,8.796459436E-2
2.363964062E0,-3.652974129E0,1.821600080E0,-6.646213531E-1
2.385553124E0,-2.751337051E0,8.784242272E-1,-4.324925840E-1
2.413789062E0,-2.950479031E0,4.092797041E-1,3.200933933E-1
2.445933332E0,-2.957809448E0,-4.386012256E-1,-3.689626157E-1
2.474051041E0,-3.174055815E0,-1.324355841E0,-5.277875662E-1
2.494398957E0,-2.533869028E0,-1.609019041E0,-3.640756905E-1
2.515739062E0,-1.554041147E0,-1.128878951E0,2.333505154E-1
2.535853124E0,-7.831292152E-1,-3.787364438E-2,3.958406746E-1
2.563989062E0,2.932153083E-2,1.170417786E0,7.330382708E-3
2.585759374E0,9.309586287E-1,2.094046116E0,-7.330382708E-3
2.613953645E0,1.848478198E0,2.158797741E0,1.221730486E-1
2.635451041E0,2.007303238E0,1.249830246E0,-2.932153083E-2
2.655536457E0,1.589471340E0,-5.082398653E-1,2.431243658E-1
2.675558332E0,5.351179242E-1,-1.959655643E0,7.464773059E-1
2.703794270E0,-3.078760803E-1,-1.566258430E0,8.173376918E-1
2.725549999E0,-1.963320851E0,7.489207983E-1,4.886921868E-2
2.745746874E0,-5.079955101E0,1.088561893E0,-2.333505154E-1
2.765788541E0,-1.431868076E0,2.443460971E-1,-2.455678284E-1
2.794003124E0,3.409849644E0,-1.087340117E-1,-2.651154995E-1
2.815761457E0,2.335948706E0,1.224173903E0,-1.004262447E0
2.835866666E0,1.018923163E0,-5.766567588E-1,1.710422710E-2
2.863804166E0,2.210110426E0,6.450737119E-1,4.227187335E-1
2.885545312E0,2.386039495E0,9.053022861E-1,-2.736676335E-1
2.905573957E0,3.071430445E0,-1.343903542E-1,4.996877611E-1
2.947511978E0,4.068362236E0,-7.501425147E-1,8.820893764E-1
2.974089062E0,2.680476665E0,1.137431026E0,-7.208209485E-2
2.995569791E0,1.304808140E0,1.631010175E0,-6.145304441E-1
3.015765103E0,4.459316134E-1,9.382889867E-1,-9.724974632E-1
3.036329687E0,-1.034805655E0,-4.801400900E-1,-1.869247556E-1
3.063794270E0,-2.930931330E0,1.832595654E-2,4.471533597E-1
3.083938020E0,-2.565634012E0,1.138652802E0,1.307251602E-1
3.104118228E0,-2.924822807E0,9.896016717E-1,6.230825558E-2
3.125562499E0,-3.128851652E0,1.896125674E0,-1.661553383E-1
3.145751041E0,-2.662150621E0,5.852088928E-1,-3.249803185E-1
3.174306770E0,-3.738495350E0,1.197295904E0,-7.867944241E-1
3.195544791E0,-3.446501732E0,-2.002416134E0,-1.058018565E0
3.215795832E0,-1.831373930E0,-4.743979454E0,3.213151097E-1
3.236195832E0,-9.969320893E-1,-2.618168354E0,4.300491214E-1
3.263760416E0,-5.681046844E-1,-8.955284357E-1,2.895501256E-1
3.283821353E0,-3.811798990E-1,3.628539443E-1,2.797762752E-1
3.303965624E0,7.086037099E-2,3.555235565E-1,3.946189284E-1
3.325560937E0,6.072000265E-1,1.109331250E0,3.848451078E-1
3.345759374E0,1.717753053E0,9.822713137E-1,3.396410644E-1
3.365881770E0,2.658485413E0,1.282816976E-1,-1.282816976E-1
3.394095832E0,2.482556343E0,-1.104444385E0,-4.007275999E-1
3.415735937E0,1.409876943E0,-1.143539667E0,5.742133036E-2
3.446034374E0,1.368338168E-1,8.100072742E-1,4.214970171E-1
3.473803124E0,-2.516764700E-1,-4.886921868E-2,8.014551997E-1
3.493990624E0,-1.982868552E0,-2.144136906E0,1.144761443E0
3.515776041E0,1.209513173E-1,-1.403768301E0,-6.560692787E-1
3.535831249E0,-4.166100919E-1,3.859446526E0,3.995058537E-1
3.563795311E0,7.415903807E-1,1.343903504E-2,1.022588372E0
3.583840624E0,3.075095654E0,-4.373795092E-1,5.632177591E-1
3.603981249E0,1.657888293E0,-1.292590857E0,-2.553416729E0
