"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.543879166E0,3.043750000E1,-3.737500000E1,-9.812500000E0
2.573403645E0,3.006250000E1,-3.637500000E1,-1.087500000E1
2.593666666E0,3.025000000E1,-3.612500000E1,-9.687500000E0
2.623411457E0,3.100000000E1,-3.693750000E1,-6.875000000E0
2.643597395E0,3.137500000E1,-3.718750000E1,-5.125000000E0
2.673390103E0,3.118750000E1,-3.781250000E1,-2.625000000E0
2.693639062E0,3.056250000E1,-3.856250000E1,-2.187500000E0
2.723380728E0,2.968750000E1,-3.850000000E1,-3.375000000E0
2.743558853E0,2.943750000E1,-3.850000000E1,-4.187500000E0
2.773596874E0,2.887500000E1,-3.818750000E1,-6.437500000E0
2.793616145E0,2.975000000E1,-3.787500000E1,-7.812500000E0
2.823553645E0,3.131250000E1,-3.725000000E1,-6.250000000E0
2.843670312E0,3.168750000E1,-3.693750000E1,-3.875000000E0
2.873619791E0,3.175000000E1,-3.750000000E1,-1.687500000E0
2.893784895E0,3.156250000E1,-3.718750000E1,-3.750000000E-1
2.923424999E0,3.162500000E1,-3.706250000E1,3.312500000E0
2.947109374E0,3.118750000E1,-3.762500000E1,5.812500000E0
2.973774999E0,3.000000000E1,-3.731250000E1,9.250000000E0
3.003378645E0,2.937500000E1,-3.656250000E1,1.331250000E1
3.034560416E0,2.937500000E1,-3.668750000E1,1.600000000E1
3.063353645E0,2.943750000E1,-3.650000000E1,1.456250000E1
3.083549999E0,2.943750000E1,-3.662500000E1,1.262500000E1
3.103826041E0,2.950000000E1,-3.743750000E1,1.087500000E1
3.134552082E0,2.831250000E1,-3.768750000E1,9.375000000E0
3.163383332E0,2.818750000E1,-3.843750000E1,7.375000000E0
3.183395832E0,2.868750000E1,-3.856250000E1,5.750000000E0
3.203574999E0,2.856250000E1,-3.825000000E1,2.687500000E0
3.234789582E0,2.906250000E1,-3.743750000E1,-2.812500000E0
3.263376041E0,2.862500000E1,-3.768750000E1,-6.000000000E0
3.293843749E0,2.825000000E1,-3.762500000E1,-7.500000000E0
3.323399999E0,2.812500000E1,-3.800000000E1,-8.687500000E0
3.343589062E0,2.800000000E1,-3.818750000E1,-8.250000000E0
3.373404687E0,2.775000000E1,-3.887500000E1,-6.000000000E0
3.393869270E0,2.731250000E1,-3.925000000E1,-4.250000000E0
3.423418228E0,2.743750000E1,-3.918750000E1,-1.937500000E0
3.445647395E0,2.781250000E1,-3.912500000E1,-1.000000000E0
3.473398436E0,2.737500000E1,-3.925000000E1,-2.500000000E-1
3.493598957E0,2.675000000E1,-3.931250000E1,-2.500000000E-1
3.523813541E0,2.525000000E1,-3.937500000E1,-2.062500000E0
3.553662499E0,2.562500000E1,-3.956250000E1,-2.937500000E0
3.583417186E0,2.631250000E1,-4.012500000E1,-1.312500000E0
3.603593749E0,2.556250000E1,-4.012500000E1,6.250000000E-2
3.634119270E0,2.675000000E1,-3.906250000E1,2.375000000E0
3.663756249E0,2.793750000E1,-3.737500000E1,4.750000000E0
3.693863541E0,2.800000000E1,-3.693750000E1,8.125000000E0
3.723402603E0,2.737500000E1,-3.693750000E1,1.143750000E1
3.743765103E0,2.768750000E1,-3.650000000E1,1.393750000E1
3.773547916E0,2.812500000E1,-3.556250000E1,1.587500000E1
3.793630728E0,2.737500000E1,-3.587500000E1,1.631250000E1
3.823547916E0,2.781250000E1,-3.656250000E1,1.562500000E1
3.843570311E0,2.731250000E1,-3.687500000E1,1.481250000E1
3.863610936E0,2.593750000E1,-3.750000000E1,1.368750000E1
3.893659374E0,2.562500000E1,-3.831250000E1,1.193750000E1
3.923405728E0,2.562500000E1,-3.887500000E1,9.937500000E0
3.948060416E0,2.593750000E1,-3.900000000E1,7.312500000E0
3.973891145E0,2.600000000E1,-3.987500000E1,2.312500000E0
4.003426041E0,2.556250000E1,-4.037500000E1,-1.750000000E0
4.034270832E0,2.431250000E1,-4.006250000E1,-4.625000000E0
4.063394270E0,2.431250000E1,-3.981250000E1,-6.500000000E0
4.083560416E0,2.381250000E1,-4.018750000E1,-6.250000000E0
4.113648957E0,2.331250000E1,-3.981250000E1,-5.000000000E0
4.134267186E0,2.337500000E1,-4.018750000E1,-4.500000000E0
4.163423436E0,2.275000000E1,-4.068750000E1,-1.562500000E0
4.193892186E0,2.243750000E1,-4.050000000E1,1.500000000E0
4.223522916E0,2.156250000E1,-4.068750000E1,4.187500000E0
4.243831770E0,2.037500000E1,-4.118750000E1,4.687500000E0
4.273421874E0,1.950000000E1,-4.181250000E1,1.937500000E0
4.293811978E0,2.018750000E1,-4.168750000E1,-7.500000000E-1
4.323460416E0,2.100000000E1,-4.175000000E1,-1.250000000E0
4.343613541E0,2.025000000E1,-4.175000000E1,6.250000000E-2
4.373632811E0,1.931250000E1,-4.193750000E1,2.312500000E0
4.393636978E0,2.093750000E1,-4.200000000E1,4.625000000E0
4.423375520E0,2.318750000E1,-4.050000000E1,8.187500000E0
4.446206770E0,2.237500000E1,-4.000000000E1,1.043750000E1
4.473390103E0,2.043750000E1,-3.925000000E1,1.556250000E1
4.493644270E0,2.050000000E1,-3.825000000E1,1.818750000E1
4.523379686E0,2.218750000E1,-3.718750000E1,2.100000000E1
4.544022395E0,2.250000000E1,-3.618750000E1,2.281250000E1
4.573660936E0,2.312500000E1,-3.518750000E1,2.262500000E1
4.593703124E0,2.375000000E1,-3.481250000E1,2.218750000E1
4.623395311E0,2.331250000E1,-3.531250000E1,2.181250000E1
4.643965624E0,2.243750000E1,-3.643750000E1,2.118750000E1
4.673369270E0,2.031250000E1,-3.843750000E1,1.950000000E1
4.693597395E0,1.987500000E1,-3.937500000E1,1.812500000E1
4.713807811E0,2.050000000E1,-4.000000000E1,1.625000000E1
4.734461457E0,2.056250000E1,-4.087500000E1,1.312500000E1
4.763370832E0,2.062500000E1,-4.156250000E1,8.062500000E0
4.783586457E0,2.118750000E1,-4.143750000E1,4.187500000E0
4.813466145E0,2.150000000E1,-4.212500000E1,-8.750000000E-1
4.834302082E0,2.150000000E1,-4.231250000E1,-3.000000000E0
4.863408332E0,2.081250000E1,-4.206250000E1,-4.437500000E0
4.893752082E0,2.037500000E1,-4.256250000E1,-5.125000000E0
4.923544790E0,2.081250000E1,-4.300000000E1,-3.250000000E0
4.946756249E0,2.143750000E1,-4.287500000E1,-1.500000000E0
4.973472915E0,2.131250000E1,-4.256250000E1,5.000000000E-1
4.994104165E0,2.062500000E1,-4.250000000E1,2.187500000E0
5.023386457E0,2.018750000E1,-4.268750000E1,4.687500000E0
5.043626040E0,2.056250000E1,-4.262500000E1,4.875000000E0
5.063784895E0,2.043750000E1,-4.256250000E1,2.687500000E0
5.093658853E0,2.068750000E1,-4.268750000E1,-5.000000000E-1
5.123374999E0,2.156250000E1,-4.268750000E1,-1.000000000E0
5.143818749E0,2.150000000E1,-4.293750000E1,-1.875000000E-1
5.173655728E0,2.037500000E1,-4.293750000E1,1.750000000E0
5.203921353E0,2.200000000E1,-4.212500000E1,5.375000000E0
5.234505728E0,2.506250000E1,-4.056250000E1,9.125000000E0
5.263582811E0,2.337500000E1,-3.956250000E1,1.418750000E1
5.293753645E0,2.268750000E1,-3.862500000E1,1.906250000E1
5.323443228E0,2.393750000E1,-3.818750000E1,2.143750000E1
5.343808332E0,2.462500000E1,-3.681250000E1,2.237500000E1
5.373794790E0,2.537500000E1,-3.575000000E1,2.206250000E1
5.403353645E0,2.475000000E1,-3.656250000E1,2.175000000E1
5.423382290E0,2.350000000E1,-3.781250000E1,2.156250000E1
5.446118749E0,2.275000000E1,-3.875000000E1,2.112500000E1
5.473691145E0,2.093750000E1,-4.006250000E1,1.868750000E1
5.493939061E0,1.981250000E1,-4.050000000E1,1.712500000E1
5.523401561E0,2.068750000E1,-4.075000000E1,1.412500000E1
5.543881770E0,2.200000000E1,-4.062500000E1,1.056250000E1
5.573664582E0,2.268750000E1,-4.143750000E1,4.187500000E0
5.603386978E0,2.268750000E1,-4.237500000E1,-1.000000000E0
5.623526040E0,2.250000000E1,-4.275000000E1,-3.562500000E0
5.643645311E0,2.237500000E1,-4.231250000E1,-5.250000000E0
5.673419269E0,2.275000000E1,-4.225000000E1,-5.250000000E0
5.693844790E0,2.262500000E1,-4.118750000E1,-4.812500000E0
5.723411978E0,2.275000000E1,-4.150000000E1,-3.312500000E0
5.743806769E0,2.293750000E1,-4.243750000E1,-1.625000000E0
5.773554686E0,2.225000000E1,-4.268750000E1,0.000000000E0
5.793589582E0,2.106250000E1,-4.343750000E1,1.125000000E0
5.823342707E0,1.993750000E1,-4.425000000E1,4.500000000E0
5.843611457E0,1.981250000E1,-4.393750000E1,5.000000000E0
5.873410936E0,2.031250000E1,-4.381250000E1,2.000000000E0
5.893803644E0,2.112500000E1,-4.375000000E1,6.250000000E-2
5.923380728E0,2.212500000E1,-4.312500000E1,-1.312500000E0
5.947283332E0,2.181250000E1,-4.281250000E1,-1.375000000E0
5.973603644E0,2.018750000E1,-4.318750000E1,1.437500000E0
5.993826040E0,2.056250000E1,-4.400000000E1,4.125000000E0
6.023367707E0,2.450000000E1,-4.243750000E1,7.000000000E0
6.043757811E0,2.512500000E1,-4.087500000E1,9.937500000E0
6.073634894E0,2.250000000E1,-4.037500000E1,1.618750000E1
6.093806769E0,2.225000000E1,-3.875000000E1,1.987500000E1
6.113813540E0,2.318750000E1,-3.687500000E1,2.193750000E1
6.134414582E0,2.450000000E1,-3.550000000E1,2.356250000E1
6.163371874E0,2.625000000E1,-3.493750000E1,2.393750000E1
6.183542707E0,2.631250000E1,-3.462500000E1,2.325000000E1
6.213397915E0,2.456250000E1,-3.593750000E1,2.331250000E1
6.234458853E0,2.325000000E1,-3.700000000E1,2.262500000E1
6.263425519E0,2.050000000E1,-3.868750000E1,1.968750000E1
6.293623436E0,1.868750000E1,-4.175000000E1,1.781250000E1
6.313661978E0,1.912500000E1,-4.268750000E1,1.643750000E1
6.334367707E0,1.987500000E1,-4.225000000E1,1.350000000E1
6.363613540E0,2.137500000E1,-4.262500000E1,7.562500000E0
6.394031769E0,2.131250000E1,-4.400000000E1,8.750000000E-1
6.423363540E0,2.075000000E1,-4.406250000E1,-3.125000000E0
6.445799478E0,2.100000000E1,-4.331250000E1,-4.500000000E0
6.473460936E0,2.081250000E1,-4.343750000E1,-4.875000000E0
6.493929686E0,2.012500000E1,-4.381250000E1,-4.687500000E0
6.523346353E0,1.993750000E1,-4.387500000E1,-3.687500000E0
6.543616665E0,2.000000000E1,-4.381250000E1,-2.375000000E0
6.573391665E0,1.912500000E1,-4.387500000E1,2.500000000E-1
6.593872394E0,1.893750000E1,-4.375000000E1,2.875000000E0
6.623420832E0,1.918750000E1,-4.425000000E1,4.250000000E0
6.643651040E0,1.950000000E1,-4.431250000E1,2.000000000E0
6.673590103E0,2.012500000E1,-4.300000000E1,-1.937500000E0
6.693630207E0,2.043750000E1,-4.325000000E1,-2.375000000E0
6.723344790E0,2.006250000E1,-4.381250000E1,-1.125000000E0
6.743763019E0,1.900000000E1,-4.356250000E1,5.625000000E-1
6.773402082E0,2.006250000E1,-4.343750000E1,5.375000000E0
6.793881248E0,2.318750000E1,-4.218750000E1,8.187500000E0
6.823373957E0,2.431250000E1,-4.068750000E1,1.206250000E1
6.843619269E0,2.275000000E1,-4.037500000E1,1.575000000E1
6.873408853E0,2.312500000E1,-3.843750000E1,2.043750000E1
6.893805207E0,2.462500000E1,-3.681250000E1,2.187500000E1
6.923378123E0,2.631250000E1,-3.531250000E1,2.331250000E1
6.947080207E0,2.756250000E1,-3.456250000E1,2.375000000E1
6.973497394E0,2.793750000E1,-3.362500000E1,2.306250000E1
6.993627603E0,2.631250000E1,-3.462500000E1,2.287500000E1
7.013765103E0,2.431250000E1,-3.625000000E1,2.243750000E1
7.035126040E0,2.262500000E1,-3.743750000E1,2.193750000E1
7.063336457E0,2.006250000E1,-3.968750000E1,1.956250000E1
7.083385936E0,1.875000000E1,-4.106250000E1,1.831250000E1
7.103608853E0,1.900000000E1,-4.118750000E1,1.656250000E1
7.123639061E0,2.006250000E1,-4.187500000E1,1.356250000E1
7.143772394E0,2.112500000E1,-4.212500000E1,9.125000000E0
7.173695311E0,2.193750000E1,-4.318750000E1,2.875000000E0
7.203470832E0,2.212500000E1,-4.318750000E1,-1.812500000E0
7.234848957E0,2.168750000E1,-4.362500000E1,-4.312500000E0
7.263371353E0,2.093750000E1,-4.437500000E1,-3.312500000E0
7.283374478E0,2.043750000E1,-4.418750000E1,-2.437500000E0
7.303585936E0,2.068750000E1,-4.431250000E1,-2.562500000E0
7.334126561E0,1.993750000E1,-4.381250000E1,-8.750000000E-1
7.363419790E0,1.956250000E1,-4.400000000E1,4.000000000E0
7.393607290E0,1.868750000E1,-4.387500000E1,5.812500000E0
7.423619269E0,1.912500000E1,-4.475000000E1,2.312500000E0
7.445658332E0,1.993750000E1,-4.437500000E1,4.375000000E-1
7.473454165E0,2.000000000E1,-4.387500000E1,-2.062500000E0
7.493649998E0,1.950000000E1,-4.381250000E1,-2.875000000E0
7.523366144E0,1.831250000E1,-4.418750000E1,-3.125000000E-1
7.543595311E0,1.812500000E1,-4.412500000E1,2.250000000E0
7.573466665E0,2.162500000E1,-4.275000000E1,6.500000000E0
7.593601561E0,2.375000000E1,-4.181250000E1,1.025000000E1
7.623423957E0,2.187500000E1,-4.050000000E1,1.531250000E1
7.643634373E0,2.175000000E1,-3.962500000E1,1.781250000E1
7.673794790E0,2.393750000E1,-3.793750000E1,2.143750000E1
7.703365103E0,2.631250000E1,-3.562500000E1,2.287500000E1
7.723785936E0,2.762500000E1,-3.468750000E1,2.281250000E1
7.753425519E0,2.675000000E1,-3.525000000E1,2.287500000E1
7.773436978E0,2.456250000E1,-3.625000000E1,2.250000000E1
7.794007811E0,2.256250000E1,-3.812500000E1,2.200000000E1
7.823671353E0,2.031250000E1,-4.000000000E1,2.025000000E1
7.853643227E0,1.906250000E1,-4.100000000E1,1.725000000E1
7.883579165E0,1.931250000E1,-4.243750000E1,1.368750000E1
7.913441144E0,2.081250000E1,-4.356250000E1,7.375000000E0
7.947052082E0,2.150000000E1,-4.381250000E1,9.375000000E-1
