"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.272895312E0,1.855699897E0,1.245100021E0,4.237199783E0
2.293233853E0,1.727999896E-1,5.511999726E-1,4.347099781E0
2.322843749E0,-7.177999616E-1,-2.481199980E0,3.858899832E0
2.343187499E0,-1.220600009E0,-4.265799999E0,5.339999795E-1
2.372896353E0,1.869999990E-2,-3.001899958E0,-8.477999568E-1
2.393329687E0,1.086199999E0,2.672399998E0,3.666599989E0
2.422868228E0,-8.331999779E-1,7.764699936E0,-2.340399981E0
2.451949478E0,-2.328899860E0,8.495800018E0,1.768299937E0
2.472933853E0,-2.637199879E0,6.965199947E0,2.000000000E0
2.493306249E0,1.150000002E-2,4.822199821E0,1.131799936E0
2.522851562E0,4.024300098E0,2.045899868E0,-7.946999669E-1
2.543126041E0,4.866899967E0,1.147099972E0,-2.509999990E0
2.572875520E0,1.901399970E0,-2.019899845E0,-2.405400038E0
2.593136457E0,-1.363899946E0,-5.219899654E0,-6.195999980E-1
2.622883332E0,-2.337699890E0,-5.111799717E0,6.514999866E-1
2.643067187E0,-2.154799938E0,-7.025199890E0,1.207799911E0
2.672861457E0,-1.414299965E0,-8.211299896E0,-1.925499916E0
2.693110416E0,9.942999482E-1,-5.388999939E0,-2.962399960E0
2.722853124E0,-3.199999779E-2,-2.374799967E0,-6.398999691E-1
2.743030207E0,-6.563000083E-1,2.071699858E0,6.434799671E0
2.773067707E0,-1.018199921E0,3.349999785E-1,-1.003819942E1
2.793086457E0,-1.997299910E0,-1.864899993E0,-7.592700005E0
2.822891145E0,5.338500023E0,2.533099890E0,-5.276700020E0
2.843149478E0,-9.521999955E-1,9.225999713E-1,-8.000999451E0
2.873092707E0,-3.415599823E0,1.703129959E1,1.323499918E0
2.893099478E0,2.485800028E0,5.597399712E0,7.078099728E0
2.922897916E0,3.069000006E0,-6.273999810E-1,4.120399952E0
2.955317707E0,3.563599825E0,2.844599962E0,-1.551800013E0
