"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.880368228E0,-2.997540474E0,9.366117477E0,5.564124584E0
1.905202083E0,-1.417367458E0,8.379706383E0,3.620033026E0
1.930367708E0,7.852981687E-1,6.426037312E0,2.576161146E0
1.950419270E0,1.493981838E0,7.948749542E0,2.183511972E0
1.975216666E0,7.278373241E-1,9.806650162E0,2.317587137E0
1.995224478E0,-1.149216816E-1,9.998186111E0,2.940079689E0
2.015262499E0,-6.416460276E-1,9.241618156E0,3.026270866E0
2.035754687E0,-1.177947283E0,9.050082207E0,2.442085743E0
2.060582812E0,-7.757213712E-1,9.567230225E0,2.489969730E-1
2.085223958E0,3.447650373E-1,1.054406452E1,-9.481038451E-1
2.105267708E0,4.501099288E-1,1.128147888E1,-3.256114423E-1
2.130394270E0,-1.972822189E0,1.110909557E1,1.206677675E0
2.155193228E0,-1.264138460E0,1.074517727E1,1.359906554E0
2.175204166E0,-9.289502501E-1,1.104205799E1,1.953668594E0
2.195286458E0,-9.576806426E-2,1.199973869E1,2.116474390E0
2.220580728E0,3.447650373E-1,1.275630665E1,2.145204782E0
2.245211978E0,6.224924326E-1,1.219127464E1,2.863465309E0
2.265258333E0,1.283292055E0,1.119528675E1,2.806004286E0
2.290379687E0,-4.118026793E-1,1.024718285E1,2.767697096E0
2.310435937E0,-1.091755986E0,8.293514252E0,3.179499865E0
2.336123958E0,-1.446097851E0,5.889736176E0,1.101332784E0
2.360566145E0,-1.714248419E0,5.832275391E0,8.619125932E-2
2.385206770E0,6.416460276E-1,1.119528675E1,4.587290287E0
2.410384374E0,-3.064578176E-1,1.619437981E1,1.321599364E0
2.430557812E0,-2.317587137E0,1.768836212E1,9.289502501E-1
2.454469791E0,-4.232948780E0,1.772666931E1,5.449203014E0
2.475204166E0,-2.738966703E0,1.556231117E1,5.267243862E0
2.495215624E0,6.895300746E-1,1.288080502E1,4.395754337E0
2.515259374E0,3.007117271E0,1.119528675E1,4.319139957E0
2.535503645E0,4.376600742E0,1.005564690E1,2.097320795E0
2.560398437E0,2.719813108E0,8.389283180E0,9.576807022E-1
2.580408332E0,2.394201756E-1,5.726930618E0,3.045424461E0
2.605191145E0,-3.102885485E0,3.926490784E0,4.060565948E0
2.625213541E0,-3.342305660E0,3.466804028E0,4.778826714E0
2.650376562E0,-3.754108191E0,1.312022567E0,4.616020679E0
2.675207812E0,-1.359906554E0,9.864110947E-1,8.714894056E-1
2.700365624E0,-2.202665508E-1,5.401319027E0,8.331822157E-1
2.720372395E0,-7.757213712E-1,6.694188118E0,3.102885485E0
2.745259895E0,-1.532289028E0,1.330218506E1,7.881711960E0
2.765280207E0,-2.346317768E0,1.136767006E1,-5.995080948E0
2.790386978E0,-3.179499865E0,6.895300865E0,-3.294421434E0
2.810566145E0,2.154781580E0,1.114740276E1,2.662352324E0
2.835459374E0,-3.734954596E-1,8.504204750E0,-5.822698593E0
2.860348437E0,-4.654327869E0,2.303222084E1,1.857900500E0
2.880392187E0,-2.719813108E0,2.177765846E1,6.579266071E0
2.900399999E0,1.771709204E0,1.180820274E1,9.126696587E0
2.920411457E0,2.030282974E0,9.088389397E0,5.276820660E0
2.947934374E0,2.863465309E0,1.164539719E1,-1.149216771E0
2.970666145E0,1.886630893E0,1.588792229E1,-2.671929121E0
2.995219270E0,-1.608903527E0,1.088882923E1,3.801992416E0
3.015286978E0,3.466804028E0,1.244984865E-1,8.561665535E0
3.035899999E0,-5.564124584E0,5.640739441E0,4.223371983E0
3.060355207E0,-2.413355350E0,3.591302633E0,-2.298433542E0
3.080416666E0,2.681505978E-1,4.979939461E-1,-1.340752959E0
3.100609374E0,2.317587137E0,1.886630893E0,4.414907932E0
3.125219270E0,2.011129379E0,5.650316238E0,-3.926490784E0
3.145263020E0,2.279279947E0,1.874181175E1,5.094861031E0
3.170574999E0,-6.301538944E0,2.076251793E1,-6.129156351E-1
3.195193228E0,-3.629609823E0,1.504516315E1,8.599972725E0
3.215297916E0,-6.627150536E0,1.558146477E1,5.276820660E0
3.235830207E0,-1.675941229E0,1.732444382E1,3.572149038E0
3.260383332E0,2.193088770E0,1.508347034E1,2.001552582E0
3.285207291E0,1.723825186E-1,7.565677166E0,3.801992416E0
3.305263020E0,2.844311714E0,7.508216381E0,6.033388376E-1
3.330375520E0,8.714894056E-1,2.528276920E0,5.276820660E0
3.355220312E0,-9.002198577E-1,1.628057212E-1,6.713341713E0
3.380401041E0,-1.321599364E0,-2.777273953E-1,5.161899090E0
3.400612499E0,-2.489969730E-1,6.895300746E-1,1.685518026E0
3.425270832E0,2.135627985E0,3.169923067E0,-1.053448766E-1
3.446471353E0,-3.734954596E-1,9.375694275E0,1.829170108E0
3.470383853E0,-4.185064793E0,5.975927353E0,8.753201485E0
3.490395832E0,-2.892195702E0,7.383718014E0,1.146343803E1
3.515267186E0,-2.078166962E0,3.460100174E1,-1.073560047E1
3.535481249E0,5.305551052E0,-2.959233284E0,-1.956541634E1
3.560350520E0,-1.026633644E1,-7.584830761E0,8.686163902E0
3.580416145E0,7.728483200E0,1.244984865E0,-8.571242332E0
3.600564061E0,7.019799232E0,2.457408714E1,-1.601242065E1
3.625236978E0,-2.557007313E0,3.006159592E1,8.532935143E0
3.650357291E0,2.901772499E0,1.018972206E1,7.278373241E0
3.675195311E0,1.991975784E0,1.309149456E1,3.964797974E0
3.695271874E0,2.030282974E0,1.035252857E1,5.487510204E0
3.720394270E0,-4.434061527E0,1.199973869E1,1.244984865E0
3.745326561E0,-2.987963676E0,1.054406452E1,7.134721279E0
3.770402082E0,8.619125932E-2,3.945644379E0,5.899312973E0
3.795203645E0,1.312022567E0,-1.177947283E0,-1.752555609E0
3.815259895E0,1.628057212E-1,-1.608903527E0,-5.276820660E0
3.835516145E0,2.413355350E0,-5.650315881E-1,3.294421434E0
3.860604166E0,-4.098873138E0,5.018246651E0,2.806004286E0
3.885206770E0,-5.899312973E0,7.115567684E0,-2.106897533E-1
3.905265624E0,-2.930502892E0,2.187342644E1,1.474828243E0
3.930378124E0,-3.581725836E0,3.260902786E1,-7.661445141E-1
3.955788020E0,-1.503558636E0,1.569638634E1,2.470816135E0
3.980358332E0,-1.666364431E0,1.943134117E1,4.022258759E0
4.000382291E0,1.742978811E0,1.870350456E1,1.781286120E0
4.025269791E0,5.171475410E-1,1.093671322E1,3.189076662E0
4.050359895E0,5.746083856E-1,7.757213593E0,1.924938202E0
4.075203124E0,-1.340752989E-1,4.098873138E0,4.118026733E0
4.095263020E0,7.852981687E-1,-2.585737705E-1,6.062118530E0
4.115282811E0,7.278373241E-1,-3.275267839E0,8.082824707E0
4.135508332E0,-7.086837292E-1,-6.512228489E0,9.232041359E0
4.160371874E0,-1.695094824E0,-8.485051155E0,3.074155092E0
4.185196353E0,3.323152065E0,1.292868972E0,-1.580173135E0
4.210353124E0,4.050989151E0,1.564850235E1,-5.190629482E0
4.230379166E0,1.829170108E0,2.145204735E1,-3.409343243E0
4.255209895E0,-9.691728592E0,1.574427032E1,1.793735886E1
4.280386457E0,-9.605537415E0,2.415270615E1,-1.346499062E1
4.305207811E0,-1.647210717E0,-6.933608055E0,-1.037168217E1
4.325278124E0,-4.922478676E0,-6.962338448E0,2.279279947E0
4.350356249E0,9.911994934E0,-8.695740700E0,-4.673481941E0
4.370581249E0,4.280832767E0,1.554315758E1,-1.221042824E1
4.395216666E0,-8.255207062E0,6.724833679E1,9.097966552E-1
4.415277082E0,7.565677166E0,1.010353088E1,6.071695328E0
4.447034895E0,5.056553841E0,1.040998936E1,3.926490784E0
4.470352603E0,-5.094861031E0,1.314895535E1,-5.554547906E-1
4.490363541E0,-1.093671322E1,1.331176186E1,3.821146011E0
4.510380207E0,-3.581725836E0,9.883264542E0,5.085284233E0
4.530402603E0,9.481038451E-1,5.975927353E0,3.055001259E0
4.550498436E0,5.343858242E0,1.695094824E0,2.011129379E0
4.575197915E0,4.932055473E0,4.213795066E-1,-7.661445141E-1
4.595222915E0,-1.905784607E0,5.477933407E0,-8.044517636E-1
4.615270832E0,-1.714248419E0,5.363011837E0,3.428496838E0
4.635529165E0,-3.055001259E0,3.102885485E0,-1.053448766E-1
4.660380207E0,-2.317587137E0,6.272808552E0,-2.221819162E0
4.680580207E0,-2.489969730E-1,2.002510262E1,-8.140285611E-1
4.705209374E0,9.864110947E-1,2.542642212E1,2.758120298E0
4.730380728E0,-3.725377798E0,1.729571342E1,2.671929121E0
4.755205207E0,-3.581725836E0,2.285026169E1,2.327163935E0
4.780411978E0,3.792415380E0,2.080082512E1,2.509123325E0
4.800559374E0,7.824251175E0,1.599326706E1,1.005564690E0
4.825184895E0,4.041412354E0,1.165497398E1,1.685518026E0
4.845236978E0,6.129156351E-1,7.527369976E0,3.447650433E0
4.865287499E0,-9.002198577E-1,3.926490784E0,4.175487995E0
4.890375520E0,-1.340752989E-1,2.078166962E0,4.127603531E0
4.910376040E0,-4.118026793E-1,-3.543418646E-1,5.142745018E0
4.947601040E0,-3.189076662E0,-1.127190113E1,-8.140285611E-1
4.970356249E0,3.667917013E0,-7.201758862E0,-1.110909581E0
4.990645311E0,2.499546528E0,8.140285611E-1,-3.945644379E0
5.015274478E0,-1.675941229E0,1.932599640E1,-3.208230257E0
5.035517707E0,-7.852981567E0,1.985272026E1,1.154962921E1
5.060591665E0,-8.149862289E0,1.390552330E1,2.442085648E1
5.085194790E0,-2.700659513E0,1.669237518E1,-3.226426315E1
5.105253124E0,5.391742229E0,9.959878922E-1,-9.414001465E0
5.130441145E0,6.435614109E0,-3.256114423E-1,6.464344501E0
5.155213540E0,6.090848923E0,-7.019799232E0,-9.059659004E0
5.180378124E0,-1.149216771E0,3.447650528E1,-6.933608055E0
5.200604165E0,-1.301488018E1,5.466441345E1,8.236053467E0
5.225257811E0,9.414001465E0,8.465897560E0,5.525817394E0
5.250372915E0,3.361459255E0,1.192312431E1,4.041412354E0
5.270450520E0,-8.331822157E-1,1.232535076E1,1.340752989E-1
5.295286457E0,-6.244078159E0,1.114740276E1,4.587290287E0
5.320386978E0,-1.312022567E0,4.587290287E0,5.497087002E0
5.340401040E0,3.045424461E0,1.446097851E0,2.375048161E0
5.365268749E0,6.866570473E0,-7.661445141E-1,-2.260126352E0
5.390367186E0,2.873042040E-2,4.683058739E0,-4.979939461E-1
5.410397395E0,-2.394201756E0,4.730942726E0,3.706224203E0
5.430571874E0,-6.809109688E0,3.189076662E0,2.968810201E-1
5.455563020E0,-6.387730122E0,2.930502892E0,-3.734954596E-1
5.480382811E0,1.503558636E0,1.739148140E1,1.532289088E-1
5.505201040E0,1.105163479E1,4.889917374E1,-1.110909581E0
5.525217707E0,-4.252102375E0,1.351287460E1,-1.484405041E0
5.545353124E0,-8.006210327E0,1.703713989E1,5.928043365E0
5.570579686E0,1.053448766E-1,1.921107483E1,4.012681961E0
5.595242707E0,7.536946774E0,1.772666931E1,3.734954596E-1
5.615255728E0,7.278373241E0,1.442267132E1,1.302445769E0
5.635799478E0,4.568136692E0,1.043871975E1,1.503558636E0
5.660564582E0,3.830722570E-1,5.889736176E0,3.495534420E0
5.685221874E0,-1.733402014E0,2.566584110E0,5.248090267E0
5.705269790E0,-3.112462282E0,-1.379060149E0,6.368576527E0
5.730353124E0,-5.161899090E0,-9.586383820E0,4.472368717E0
5.750385936E0,-1.005564690E0,-1.321599293E1,-1.225831270E0
5.770398957E0,6.770802498E0,-5.966350555E0,-1.810016513E0
5.795199478E0,5.612008572E0,5.746084213E0,-6.301538944E0
5.815257811E0,2.729389906E0,2.360682869E1,-5.659893036E0
5.835878124E0,-6.186617374E0,2.369301987E1,1.029506683E1
5.860369269E0,-1.198058510E1,2.079124832E1,1.531331444E1
5.885211978E0,-6.062118530E0,9.241618156E0,-2.568499565E1
5.905215103E0,2.250549555E0,-8.216899872E0,-5.832275391E0
5.930354165E0,3.055001259E0,-6.426037312E0,2.221819162E0
5.951645311E0,1.049618053E1,-9.030928612E0,-1.035252857E1
5.975219269E0,7.814674377E0,3.403597260E1,-9.950302124E0
5.995223436E0,-1.578257751E1,6.639600372E1,7.278373241E-1
6.015259894E0,6.263231754E0,5.506663799E0,7.709329605E0
6.035790624E0,7.201758862E0,7.268796444E0,5.228936672E0
6.060377082E0,1.771709204E0,1.291911221E1,5.075707436E-1
6.085208332E0,-6.311115742E0,1.391510010E1,3.706224203E0
6.110629165E0,-3.083731890E0,1.078348446E1,1.061110210E1
6.135809374E0,2.777273893E0,5.018246651E0,-2.173935175E0
6.160364582E0,7.479485989E0,-1.628057212E-1,-1.628057122E0
6.180419269E0,7.852981567E0,2.940079689E0,7.565677166E0
6.205189582E0,1.532289028E0,5.094861031E0,2.384624958E0
6.225220311E0,-8.513781548E0,4.491522312E0,-6.033388138E0
6.245298957E0,-8.207323074E0,1.139639974E0,-1.340752959E0
6.270560936E0,-2.691082716E0,4.711789131E0,4.060565948E0
6.295191144E0,6.263231754E0,2.432508850E1,3.122039080E0
6.315321353E0,3.476380825E0,4.114196014E1,-3.055001259E0
6.335566144E0,-7.498639584E0,1.752555656E1,-4.118026793E-1
6.360571874E0,-2.011129379E0,1.921107483E1,6.081272125E0
6.385217186E0,3.428496838E0,1.916319084E1,3.150769472E0
6.410353124E0,7.412448406E0,1.420240402E1,-6.703764945E-2
6.446611978E0,2.643198729E0,8.389283180E0,9.385270476E-1
6.470359894E0,-4.309563041E-1,2.853888512E0,2.183511972E0
6.490643749E0,-9.481038451E-1,5.841852427E-1,3.734954596E0
6.515254165E0,-5.027823448E0,-6.224924564E0,5.190629482E0
6.535895832E0,-1.379060149E0,-1.354160500E1,2.518700123E0
6.560376040E0,5.190629482E0,-9.088389397E0,-3.447650373E-1
6.585217186E0,-3.256114423E-1,4.357447147E0,-5.707777023E0
6.610358332E0,-4.070142746E0,2.070505714E1,-2.183511972E0
6.630614582E0,-1.355118179E1,2.057098007E1,2.071463394E1
6.655186978E0,-7.364564419E0,2.663310051E1,-1.272757626E1
6.675220832E0,6.847416878E0,-3.447650433E0,-1.363737297E1
6.700380728E0,6.224924564E0,-2.384624958E0,3.945644379E0
6.725205728E0,7.307103634E0,-5.698200226E0,-1.208592987E1
6.745351040E0,4.434061527E0,1.622311020E1,-9.739612579E0
6.770353123E0,-1.944091797E1,5.879201508E1,-1.302445769E0
6.790597915E0,4.261679173E0,1.116655636E1,1.271799946E1
6.815341665E0,6.751648903E0,1.136767006E1,3.849876404E0
6.835902082E0,2.059013367E0,1.436521053E1,4.788403511E-1
6.860566144E0,-6.569689274E0,1.162624359E1,6.129156113E0
6.885226040E0,-2.748543501E0,6.378153324E0,5.018246651E0
6.905278123E0,3.160346270E0,4.558559895E0,8.523358107E-1
6.930377603E0,1.039083576E1,-1.819593310E-1,1.110909581E0
6.951261457E0,5.209783077E0,4.759673119E0,3.198653460E0
6.975198957E0,2.164358377E0,4.481945515E0,1.589749932E0
6.995206769E0,-4.252102375E0,4.223371983E0,-2.193088770E0
7.015306248E0,-8.628703117E0,4.405331016E-1,-6.550535679E0
7.035939582E0,-7.115567684E0,1.340752959E0,-6.703764796E-1
7.060358332E0,-1.091755986E0,1.487278080E1,5.908889771E0
7.080369790E0,1.034295177E1,4.362235641E1,1.628057122E0
7.100623957E0,-4.357447147E0,2.098278427E1,-3.265691042E0
7.125210415E0,-5.602431774E0,2.150950813E1,7.805097580E0
7.145398957E0,1.043871999E0,2.438254929E1,3.945644379E0
7.170548957E0,7.920019150E0,1.864604378E1,-3.543418646E-1
7.195198436E0,5.659893036E0,1.336922264E1,-6.224924326E-1
7.215287498E0,3.409343243E0,8.360552788E0,6.416460276E-1
7.235892707E0,-3.830722719E-2,3.955221176E0,9.002198577E-1
7.260354165E0,-1.771709204E0,-1.829170108E0,2.719813108E0
7.285206769E0,-4.290409565E0,-1.013226128E1,4.414907932E0
7.310348436E0,-5.554547906E-1,-1.907699966E1,2.193088770E0
7.330376561E0,2.758120298E0,-8.647856712E0,-6.761225700E0
7.350385415E0,2.547430515E0,2.375048161E0,-1.006522369E1
7.370406248E0,4.156333923E0,2.640325546E1,-4.146757126E0
7.395195311E0,-1.093671322E1,2.576161003E1,2.053267288E1
7.415288540E0,-1.081221485E1,1.094629002E1,1.404917526E1
7.446481769E0,-8.331822157E-1,1.136767006E1,-3.674620819E1
7.470377082E0,6.876147270E0,-1.886630893E0,5.765237808E0
7.490384373E0,6.914454460E0,-7.086837292E-1,8.044517636E-1
7.510389582E0,5.114014626E0,-2.806004286E0,-1.005564690E1
7.530606769E0,5.420472622E0,2.182554245E1,-5.535394192E0
7.555242707E0,-1.546654320E1,4.503972244E1,5.276820660E0
7.575294790E0,9.854534149E0,1.087925243E1,9.710882187E0
7.600573957E0,9.299078941E0,1.251688671E1,1.991975784E0
7.625272915E0,-4.845864296E0,1.215296745E1,3.169923067E0
7.650388019E0,-7.316680431E0,7.891288757E0,1.056321812E1
7.670577603E0,-9.576807022E-1,7.019799232E0,3.198653460E0
7.695220311E0,9.002198219E0,2.796427488E0,-2.920926094E0
7.715277082E0,9.385271072E0,-1.915361285E-1,-2.145204782E0
7.735784373E0,1.216254473E0,5.487510204E0,5.363011837E0
7.760353123E0,-3.380612850E0,5.190629482E0,3.485957623E0
7.780399478E0,-9.634267807E0,2.595314741E0,-5.458779812E0
7.805217707E0,-6.885724068E0,7.469909191E-1,-5.650316238E0
7.830373957E0,-8.619125932E-2,1.111867237E1,6.512228489E0
7.850583852E0,8.398859978E0,3.570233536E1,4.175487995E0
7.875213019E0,-5.161899090E0,2.055182648E1,-4.194641590E0
7.895215623E0,-3.409343243E0,2.030282974E1,7.345410824E0
7.915272915E0,-8.619125932E-2,2.503377342E1,6.512228489E0
7.947872394E0,5.363011837E0,2.129881859E1,-1.015141487E0
7.970591144E0,4.156333923E0,1.364694977E1,6.991068721E-1
7.995209373E0,4.118026793E-1,6.962338448E0,2.346317768E0
