"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.565001562E0,-1.813799977E0,1.776199937E0,-1.588999987E0
2.595003125E0,-1.741899967E0,2.050199986E0,-2.279199839E0
2.625004687E0,-2.131399870E0,1.993499994E0,-9.648999572E-1
2.654975000E0,-1.555999994E0,3.118599892E0,8.605999947E-1
2.674998437E0,-1.305899978E0,3.915599823E0,5.722999573E-1
2.705000000E0,-1.809599996E0,2.982499838E0,-2.140999883E-1
2.735001562E0,-2.425600052E0,1.965699911E0,-1.155300021E0
2.765004687E0,-1.570199966E0,1.592899919E0,-1.669099927E0
2.795006250E0,-1.524500012E0,9.621999860E-1,-5.350999832E-1
2.824992187E0,-2.037199974E0,9.724999666E-1,-1.748999953E-1
2.844998437E0,-2.112699986E0,1.911499977E0,-4.438999891E-1
2.875001562E0,-1.697600007E0,2.979899883E0,-8.812999725E-1
2.905003125E0,-1.396600008E0,3.102399826E0,-8.499999642E-1
2.935004687E0,-1.623699903E0,9.422999620E-1,-7.100000046E-3
2.964975000E0,-2.443799973E0,-7.586999536E-1,2.838000059E-1
2.984998437E0,-3.175999880E0,-9.059999585E-1,1.782999933E-1
3.015000000E0,-2.371700048E0,-5.934999585E-1,-2.597999871E-1
3.045001562E0,-1.747799993E0,1.590600014E0,4.047999978E-1
3.075004687E0,-1.799699903E0,2.716699839E0,2.940999866E-1
3.105006250E0,-1.909500003E0,2.918900013E0,1.070999950E-1
3.134976562E0,-7.619999647E-1,1.902899981E0,1.094200015E0
3.154998437E0,-6.719999909E-1,1.571699977E0,-1.429999992E-2
3.185001562E0,-2.294800043E0,1.083999991E0,-9.328999519E-1
3.215003125E0,-2.970899820E0,1.472999930E0,-5.399000049E-1
3.245004687E0,-3.680999994E0,1.411799908E0,7.062999606E-1
3.274976562E0,-2.462199926E0,1.429999948E0,7.734000087E-1
3.294998437E0,-1.402999997E0,1.932799935E0,2.919999883E-2
3.325000000E0,-4.499000013E-1,1.371099949E0,-9.274999499E-1
3.355001562E0,-1.190299988E0,1.258999944E0,-1.521499991E0
3.385004687E0,-1.784500003E0,2.550699949E0,-6.457999945E-1
3.415006250E0,-2.331799984E0,2.670899868E0,4.688999951E-1
3.444976562E0,-2.277400017E0,1.650499940E0,-3.316999972E-1
3.465000000E0,-2.085299969E0,1.101199985E0,1.322499990E0
3.495001562E0,-2.151900053E0,1.943599939E0,-3.935999870E-1
3.525003125E0,-1.637399912E0,2.088799953E0,-9.437999725E-1
3.555004687E0,-2.895399809E0,1.904599905E0,-5.119999647E-1
3.584976562E0,-2.986500025E0,2.816099882E0,-9.179999828E-1
3.604998437E0,-3.178099871E0,1.589499950E0,3.398999870E-1
3.635000000E0,-3.095700026E0,9.589999914E-1,3.280000016E-2
3.665001562E0,-3.126999855E0,1.227299929E0,1.459199905E0
3.695003125E0,-2.441599846E0,2.340199947E0,-7.925999761E-1
3.725006250E0,-3.059599876E0,1.573199987E0,-1.425099969E0
3.754976562E0,-2.628299952E0,1.152999997E0,-8.180999756E-1
3.775000000E0,-2.934899807E0,1.118499994E0,9.829999506E-2
3.805001562E0,-2.665299892E0,1.664600015E0,1.309999973E-1
3.835003125E0,-2.381599903E0,1.013399959E0,3.571999967E-1
3.865004687E0,-4.141399860E0,2.168699980E0,-1.596699953E0
3.894976562E0,-3.061899900E0,9.605000019E-1,-1.196299911E0
3.914998437E0,-2.568899870E0,4.657000005E-1,-1.130699992E0
3.945000000E0,-2.209100008E0,2.034800053E0,1.920999885E-1
3.975003125E0,-1.303599954E0,1.340199947E0,-8.191999793E-1
4.005004687E0,-2.255499840E0,-1.081599951E0,1.078699946E0
4.034975000E0,-2.327800035E0,-1.067899942E0,1.520999968E-1
4.054996875E0,-3.183899879E0,1.157599926E0,4.711000025E-1
4.085000000E0,-2.449499846E0,2.926499844E0,-1.343099952E0
4.115001562E0,-2.170599937E0,1.840899944E0,-1.291199923E0
4.145003125E0,-1.678200006E0,1.178699970E0,-9.070999622E-1
4.175006250E0,-1.353600025E0,5.497999787E-1,-7.220000029E-2
4.204975000E0,-1.946299911E0,3.916999996E-1,1.221300006E0
4.224998437E0,-2.123199940E0,1.365700006E0,3.520999849E-1
4.255000000E0,-1.796499968E0,3.152099848E0,-4.111999869E-1
4.285003125E0,-2.345099926E0,4.347899914E0,-1.861599922E0
4.315004687E0,-2.420599937E0,1.676599979E0,-9.278999567E-1
4.344975000E0,-3.101300001E0,7.360000163E-2,5.599999800E-2
4.364996875E0,-3.312500000E0,1.641999930E-1,-1.112399936E0
4.395000000E0,-3.564800024E0,2.784399986E0,-1.337799907E0
4.425001562E0,-3.099900007E0,3.438299894E0,-1.046999991E-1
4.455003125E0,-1.106899977E0,2.174299955E0,3.043999970E-1
4.485004687E0,-1.553900003E0,2.289299965E0,-2.474999875E-1
4.514976562E0,-1.923799992E0,3.142599821E0,4.800000042E-2
4.534998437E0,-1.915299892E0,3.356199980E0,-1.640000008E-2
4.565000000E0,-1.535699964E0,2.977399826E0,1.341999918E-1
4.595003125E0,-2.158200026E0,2.244299889E0,-9.849999845E-2
4.625004687E0,-2.668699980E0,1.277099967E0,-2.450999916E-1
4.654975000E0,-3.496799946E0,6.859999895E-1,-1.011799932E0
4.674996875E0,-2.974099874E0,8.458999991E-1,-1.508999944E0
4.705000000E0,-2.231899977E0,1.497599959E0,-6.647999883E-1
4.735001562E0,-2.911700010E0,2.297799826E0,-7.335000038E-1
4.765003125E0,-2.527899981E0,2.432299852E0,-2.965999842E-1
4.795006250E0,-2.054299831E0,2.026399851E0,3.946000040E-1
4.824978125E0,-3.523599863E0,2.506500006E0,-6.823999882E-1
4.844998437E0,-3.533499956E0,2.597800016E0,-4.298999906E-1
4.875000000E0,-3.148000002E0,2.626199961E0,1.043699980E0
4.905003125E0,-2.208199978E0,2.915999889E0,1.203799963E0
4.935004687E0,-2.055399895E0,3.475600004E0,-7.865999937E-1
4.964976562E0,-2.255899906E0,2.861099958E0,-2.073400021E0
4.984996875E0,-1.233099937E0,1.867100000E0,-1.141799927E0
5.015000000E0,-2.047800064E0,1.503999978E-1,4.779999852E-1
5.045001562E0,-2.221499920E0,3.102000058E-1,-1.034399986E0
5.075003125E0,-2.382799864E0,1.589900017E0,-1.305599928E0
5.105006250E0,-2.524600029E0,2.813799858E0,5.286999941E-1
5.134976562E0,-2.401299953E0,3.295099974E0,8.348999619E-1
5.154998437E0,-2.849400043E0,2.473299980E0,7.222999930E-1
5.185001562E0,-1.799999952E0,1.641699910E0,1.449999928E0
5.215003125E0,-4.122999907E-1,1.856799960E0,-7.774999738E-1
5.245004687E0,-1.500699997E0,3.587099791E0,-1.312799931E0
5.274975000E0,-2.820099831E0,3.263899803E0,-5.864999890E-1
5.294998437E0,-3.762599945E0,2.043299913E0,-5.866000056E-1
5.325000000E0,-4.855299950E0,1.972799897E0,-1.305000037E-1
5.355001562E0,-3.505100012E0,2.822199821E0,-1.443199992E0
5.385003125E0,-1.612599969E0,2.341099977E0,-6.811000109E-1
5.415006250E0,-5.534999967E-1,1.994699955E0,2.926999927E-1
5.444976562E0,-1.415300012E0,1.664899945E0,-9.670999646E-1
5.464998437E0,-1.844099998E0,1.679999948E0,-9.303999543E-1
5.495001562E0,-1.703599930E0,2.817699909E0,-7.669999599E-1
5.525003125E0,-2.586699963E0,3.161999941E0,3.495999873E-1
5.555004687E0,-2.933199883E0,2.477499962E0,-2.298000008E-1
5.584975000E0,-1.235199928E0,2.502199888E0,-3.800999820E-1
5.604998437E0,-1.026999950E0,3.444599867E0,-1.207700014E0
5.635000000E0,-1.782099962E0,3.737299919E0,-1.295799971E0
5.665001562E0,-1.304999948E0,1.172500014E0,-7.339999676E-1
5.695004687E0,-2.559399843E0,1.806999922E0,4.099999741E-2
5.725006250E0,-2.933300018E0,2.864199877E0,-2.455499887E0
5.754976562E0,-3.757499933E0,1.538999915E0,-1.942999959E-1
5.774998437E0,-3.684000015E0,2.068699837E0,7.039999962E-2
5.805001562E0,-8.815000057E-1,6.966999769E-1,2.671000063E-1
5.825025000E0,-6.211000085E-1,1.891299963E0,-1.171100020E0
5.854993750E0,-1.983299971E0,4.592299938E0,-1.002099991E0
5.884995312E0,-1.465499997E0,3.256500006E0,-1.060999990E0
5.914998437E0,-3.041100025E0,2.242199898E0,-1.009799957E0
5.945000000E0,-1.211599946E0,1.283100009E0,-1.076999977E-1
5.975001562E0,-2.026999950E0,1.681599975E0,1.045300007E0
6.005004687E0,-3.813999891E-1,2.189800024E0,-2.029999942E-1
6.035006250E0,-1.383299947E0,2.786700010E0,-9.704999924E-1
6.064976562E0,-1.028399944E0,2.755399942E0,-2.012799978E0
6.084998437E0,-2.040099859E0,2.222199917E0,-2.699800014E0
6.115001562E0,-2.063400030E0,1.658800006E0,-4.766999781E-1
6.145003125E0,-1.260399938E0,1.621899962E0,9.749999642E-2
6.175004687E0,-6.158999801E-1,2.365999937E0,-2.475999892E-1
6.204976562E0,-9.497999549E-1,3.366199970E0,-4.330999851E-1
6.224998437E0,-1.424999952E0,3.057099819E0,-1.579999924E-1
6.255000000E0,-1.042999983E0,2.417199850E0,-1.573799968E0
6.285001562E0,-1.936499953E0,2.131999969E0,-7.999999523E-1
6.315004687E0,-2.295500040E0,2.199100018E0,-7.730999589E-1
6.345006250E0,-1.521099925E0,3.026499987E0,-9.433999658E-1
6.374976562E0,-1.696799994E0,3.793099880E0,-1.305099964E0
6.394998437E0,-1.347199917E0,3.234200001E0,-1.682799935E0
6.425001562E0,-1.282999992E0,9.865999818E-1,6.164999604E-1
6.455003125E0,-1.529799938E0,1.644199967E0,7.099999487E-2
6.485004687E0,-2.025300026E0,4.034100056E0,-1.195099950E0
6.514976562E0,-2.225499868E0,4.521999836E0,-1.355000019E0
6.534998437E0,-1.889099956E0,3.435099840E0,-1.065199971E0
6.565000000E0,-1.221300006E0,1.122799993E0,-1.298399925E0
6.595001562E0,-1.176599979E0,7.800000161E-2,-1.635199904E0
6.625004687E0,-1.316399932E0,1.561999917E0,-1.557599902E0
6.655006250E0,-1.711899996E0,3.023799896E0,-1.781999916E-1
6.684976562E0,-7.748000026E-1,3.762899876E0,9.409999847E-2
6.704998437E0,-8.599999547E-2,3.723999977E0,1.724999994E-1
6.735001562E0,-4.992999732E-1,2.948199987E0,-9.976999760E-1
6.765003125E0,-1.979900002E0,2.065999985E0,-1.943599939E0
6.795004687E0,-1.897199988E0,1.370599985E0,-1.586699963E0
6.824976562E0,-1.837000012E0,1.903899908E0,-1.482800007E0
6.844998437E0,-2.006599903E0,1.923099995E0,-2.021499872E0
6.875000000E0,-1.514799953E0,2.419999838E0,-1.355899930E0
6.905001562E0,-1.368399978E0,3.963199854E0,2.659999952E-2
6.935004687E0,-2.192199945E0,4.790100098E0,1.282699943E0
6.964975000E0,-7.026999593E-1,3.410300016E0,-3.858999908E-1
6.984996875E0,2.456999868E-1,2.379099846E0,-1.355099916E0
7.014998437E0,5.173000097E-1,1.344900012E0,-1.421399951E0
7.045001562E0,-5.352999568E-1,7.789999843E-1,-1.365299940E0
7.075003125E0,-3.136600018E0,1.019999981E0,3.799999878E-2
7.105006250E0,-4.394700050E0,2.623199940E0,-6.692000031E-1
7.134976562E0,-2.086600065E0,1.954299927E0,-1.575299978E0
7.154998437E0,-1.146099925E0,1.682999969E0,-5.424999595E-1
7.185000000E0,-2.456999868E-1,3.093099833E0,2.298000008E-1
7.215001562E0,9.302999973E-1,3.416399956E0,6.561999917E-1
7.245004687E0,-7.489999533E-1,3.583499908E0,-1.218699932E0
