"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.200004687E0,1.026253626E-1,-2.223549485E-1,-5.057964325E-1
2.224998437E0,1.857030392E-1,-2.260201424E-1,-5.791002512E-1
2.249993750E0,-6.108652335E-3,-2.614503205E-1,-7.049384713E-1
2.270001562E0,-1.380555481E-1,-2.247984111E-1,-6.633996367E-1
2.294982812E0,-1.111774743E-1,-6.414085031E-1,-4.948008358E-1
2.315004687E0,-2.675589621E-1,-6.792821288E-1,-4.740314186E-1
2.340001562E0,-3.775147200E-1,-7.684684396E-1,-5.522221923E-1
2.364996875E0,-1.001819000E-1,-6.817256212E-1,-5.216789246E-1
2.389995312E0,-4.398229718E-2,-5.338962078E-1,-5.290092826E-1
2.414990625E0,1.514945775E-1,-4.654793143E-1,-5.094615817E-1
2.439987500E0,3.481931984E-1,-5.681046844E-1,-4.434881508E-1
2.464982812E0,3.824016452E-1,-5.937610269E-1,-4.459316134E-1
2.485006250E0,2.675589621E-1,-5.632177591E-1,-4.948008358E-1
2.510003125E0,-2.272418737E-1,-4.703662395E-1,-4.801400900E-1
2.534998437E0,-7.281513810E-1,-4.251621962E-1,-4.899139106E-1
2.559995312E0,-5.583308339E-1,-5.583308339E-1,-5.729916096E-1
2.580012500E0,-3.591887653E-1,-4.483750761E-1,-5.558873415E-1
2.604982812E0,-3.139847219E-1,-4.447098970E-1,-3.139847219E-1
2.625004687E0,-3.579670191E-1,-4.153883457E-1,-2.333505154E-1
2.650001562E0,-5.681046844E-1,-3.946189284E-1,-2.028072625E-1
2.674998437E0,-7.953465581E-1,-1.771509200E-1,-3.799581826E-1
2.700003125E0,-6.450737119E-1,-1.441641897E-1,-5.852088928E-1
2.724990625E0,-4.911356568E-1,-2.467895597E-1,-5.277875662E-1
2.749985937E0,-4.776966274E-1,-3.543018550E-2,-4.007275999E-1
2.769987500E0,-5.962044597E-1,2.419026345E-1,-4.703662395E-1
2.790000000E0,-5.338962078E-1,6.597344577E-2,-5.351179242E-1
2.814996875E0,-3.054326177E-1,-2.113593668E-1,-4.813618064E-1
2.839993750E0,-3.054326177E-1,-2.345722467E-1,-4.337143302E-1
2.864989062E0,-3.481931984E-1,-6.108652428E-2,-3.921754956E-1
2.889987500E0,-5.839871764E-1,5.986479297E-2,-3.518583775E-1
2.914982812E0,-8.710938096E-1,1.087340117E-1,-4.214970171E-1
2.935004687E0,-9.175195694E-1,2.431243658E-1,-4.899139106E-1
2.960001562E0,-8.955284357E-1,2.761110961E-1,-5.644394755E-1
2.984998437E0,-7.929030657E-1,4.214970171E-1,-5.949827433E-1
3.009995312E0,-7.611380816E-1,1.991420686E-1,-5.143485069E-1
3.034990625E0,-5.497786999E-1,1.820378453E-1,-3.958406746E-1
3.059987500E0,-5.082398653E-1,1.050688177E-1,-3.103195429E-1
3.084982812E0,-6.267477274E-1,1.966986060E-1,-2.480112910E-1
3.105006250E0,-8.564330339E-1,4.153883457E-1,-2.321287990E-2
3.130003125E0,-9.932668805E-1,5.424483418E-1,1.087340117E-1
3.150004687E0,-9.395107627E-1,5.424483418E-1,1.221730486E-1
3.174989062E0,-8.662068844E-1,5.656611919E-1,1.221730467E-2
3.199985937E0,-8.442157507E-1,7.318165302E-1,-1.453859210E-1
3.224982812E0,-1.062905550E0,5.888741016E-1,-2.504547536E-1
3.245004687E0,-1.078788042E0,1.979203373E-1,-1.734857261E-1
3.270001562E0,-1.115439892E0,-4.520402849E-2,-1.319468915E-1
3.294998437E0,-1.088561893E0,4.520402849E-2,-1.246165112E-1
3.319995312E0,-1.144761443E0,3.897320330E-1,-1.539380401E-1
3.340015625E0,-1.158200502E0,5.338962078E-1,-2.003637999E-1
3.364981250E0,-1.304808140E0,6.047565937E-1,-2.382374406E-1
3.385004687E0,-1.488067746E0,3.665191531E-1,-2.565633953E-1
3.410001562E0,-1.384220600E0,3.420845270E-1,-2.419026345E-1
3.434996875E0,-1.259604096E0,7.831292152E-1,-1.136209369E-1
3.459993750E0,-1.309695125E0,3.970623910E-1,-1.588249654E-1
3.484989062E0,-1.102000833E0,2.712241709E-1,4.276056588E-2
3.510017187E0,-9.639453292E-1,3.933972120E-1,1.246165112E-1
3.534982812E0,-9.578366876E-1,3.677408695E-1,4.031710699E-2
3.555004687E0,-9.248499870E-1,1.710422635E-1,9.773843922E-3
3.580003125E0,-8.271115422E-1,7.208209485E-2,-1.832595654E-2
3.600012500E0,-7.525859475E-1,1.918116808E-1,4.886921868E-2
3.624989062E0,-5.815436840E-1,-1.319468915E-1,1.832595654E-2
3.649985937E0,-5.485569835E-1,-2.577851415E-1,-4.886921961E-3
3.674982812E0,-4.007275999E-1,-1.576032341E-1,-8.307766914E-2
3.695003125E0,-3.518583775E-1,-8.185594529E-2,-1.404990107E-1
3.720001562E0,-2.602286041E-1,-1.747074574E-1,-1.893682182E-1
3.744996875E0,-3.176499158E-2,-3.139847219E-1,-1.368338168E-1
3.769993750E0,1.295034289E-1,-3.457497358E-1,-1.722639948E-1
3.794989062E0,2.480112910E-1,-8.674286306E-2,-1.795943826E-1
3.819985937E0,2.272418737E-1,-2.076941729E-2,-3.005456924E-1
3.844982812E0,6.047565937E-1,1.844813079E-1,-1.588249654E-1
3.865004687E0,5.546656251E-1,-9.162978828E-2,-2.993239760E-1
3.890003125E0,5.338962078E-1,-3.152064681E-1,-3.799581826E-1
3.914998437E0,7.147123218E-1,-3.347541392E-1,-1.869247556E-1
3.939995312E0,6.646213531E-1,-4.850269854E-1,-1.637118906E-1
3.964990625E0,8.405505419E-1,-3.457497358E-1,-5.619960278E-2
3.989987500E0,6.267477274E-1,-4.642575681E-1,-1.502728462E-1
4.014984375E0,9.395107627E-1,-4.789183438E-1,-9.040805697E-2
4.039981250E0,1.072679400E0,-3.433062732E-1,-1.808161139E-1
4.060003125E0,1.116661668E0,-4.080579877E-1,-2.394591719E-1
4.085000000E0,1.177748203E0,-6.243042946E-1,2.932153083E-2
4.110015625E0,1.143539667E0,-7.159340382E-1,5.290092826E-1
4.134992187E0,1.147204876E0,-3.188716471E-1,8.943067193E-1
4.160012500E0,1.112996459E0,-4.752531648E-1,8.161159754E-1
4.184984375E0,1.295034289E0,-2.223549485E-1,7.525859475E-1
4.209996875E0,1.370781541E0,-4.031710625E-1,7.208209634E-1
4.230003125E0,1.572367072E0,-3.750712574E-1,7.305948138E-1
4.255000000E0,1.601688623E0,-6.841690540E-1,7.220426798E-1
