"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.230004687E0,-3.256114423E-1,6.167463779E0,5.793968201E0
2.255000000E0,-2.585737705E-1,8.006210327E0,6.426037312E0
2.279998437E0,-1.043871999E0,1.023760605E1,5.516240597E0
2.304993750E0,5.458779931E-1,9.232041359E0,6.090848923E0
2.329990625E0,2.422932148E0,9.921571732E0,7.489062786E0
2.354985937E0,2.815581083E0,9.394847870E0,5.889736176E0
2.379984375E0,2.671929121E0,7.584830761E0,4.089296341E0
2.400004687E0,1.742978811E0,5.669469833E0,4.970362663E0
2.420009375E0,1.034295082E0,4.970362663E0,6.110002518E0
2.444992187E0,4.596867263E-1,5.803544998E0,7.010222435E0
2.469990625E0,-1.915361360E-2,7.977479935E0,7.029376030E0
2.494985937E0,1.053448766E-1,9.739612579E0,6.540958881E0
2.519982812E0,9.576806799E-3,8.906430244E0,6.847416878E0
2.540004687E0,3.734954596E-1,7.498639584E0,6.780379295E0
2.565001562E0,1.379060149E0,7.249642849E0,5.937620163E0
2.589998437E0,1.493981838E0,7.556100368E0,5.295974255E0
2.614993750E0,1.043871999E0,7.345410824E0,5.861005783E0
2.639990625E0,1.321599364E0,7.910442352E0,7.718906403E0
2.664985937E0,1.790862918E0,9.059659004E0,8.494627953E0
2.689982812E0,1.771709204E0,9.126696587E0,7.623138428E0
2.710006250E0,1.637633920E0,7.872135162E0,7.230489254E0
2.730043750E0,9.672574997E-1,7.307103634E0,6.569689274E0
2.754993750E0,1.561019540E0,6.847416878E0,5.774814606E0
2.779989062E0,1.781286120E0,6.416460514E0,6.991068840E0
2.804984375E0,1.273715258E0,5.793968201E0,7.498639584E0
2.824992187E0,1.206677675E0,5.908889771E0,7.690176010E0
2.844998437E0,1.139639974E0,6.818686485E0,7.441178799E0
2.869995312E0,1.513135433E0,7.757213593E0,7.163451672E0
2.894990625E0,1.771709204E0,8.236053467E0,7.048529625E0
2.919990625E0,1.771709204E0,7.019799232E0,7.201758862E0
2.944984375E0,6.799532771E-1,4.855441093E0,8.628703117E0
2.969982812E0,5.267243981E-1,3.562572241E0,8.465897560E0
2.990003125E0,-4.022258818E-1,3.284844637E0,8.542511940E0
3.015000000E0,2.777273953E-1,3.447650433E0,8.312667847E0
3.039996875E0,8.331822157E-1,5.008669853E0,9.165003777E0
3.064993750E0,4.213795066E-1,6.531382084E0,9.069235802E0
3.089989062E0,2.394201756E-1,6.971915245E0,8.801085472E0
3.114985937E0,6.416460276E-1,6.224924564E0,9.433155060E0
3.139982812E0,1.771709204E0,5.248090267E0,9.787496567E0
3.160004687E0,1.350329757E0,4.587290287E0,8.686163902E0
3.180006250E0,2.873041928E-1,4.060565948E0,8.044517517E0
3.204992187E0,-8.236053586E-1,4.319139957E0,8.743624687E0
3.229989062E0,-1.752555609E0,4.443638325E0,9.548076630E0
3.249992187E0,-1.608903527E0,3.821146011E0,1.015141487E1
3.270001562E0,-7.661445141E-1,3.543418407E0,1.037168217E1
3.294998437E0,3.926490843E-1,4.041412354E0,9.471462250E0
3.319995312E0,1.331176162E0,3.313575268E0,8.523358345E0
3.340015625E0,1.120486379E0,2.758120298E0,8.264783859E0
3.364981250E0,3.447650373E-1,3.055001259E0,7.843404770E0
3.385004687E0,-1.723825186E-1,3.715801001E0,8.992621422E0
3.410001562E0,-6.799532771E-1,3.600879431E0,9.854534149E0
3.434996875E0,-1.158793569E0,2.853888512E0,8.791508675E0
3.459993750E0,-8.906430602E-1,1.532289028E0,1.074517727E1
3.484989062E0,-8.331822157E-1,1.666364431E0,1.063025570E1
3.510017187E0,-1.110909581E0,2.240972757E0,8.609549522E0
3.534982812E0,-4.309563041E-1,1.695094824E0,8.197746277E0
3.555004687E0,-1.991975784E0,1.446097851E0,9.270348549E0
3.580003125E0,-2.212242365E0,2.202665567E0,8.264783859E0
3.600012500E0,-2.240972757E0,1.244984865E0,9.787496567E0
3.624989062E0,-1.934514999E0,-9.576806799E-3,9.050082207E0
3.649985937E0,-2.020706177E0,-6.703764945E-2,1.018972206E1
3.674982812E0,-1.177947283E0,5.841852427E-1,9.270348549E0
3.695003125E0,-1.628057122E0,1.082179189E0,8.925583839E0
3.720001562E0,-2.269703150E0,4.596867263E-1,8.169015884E0
3.744996875E0,-1.790862918E0,-2.298433632E-1,8.188169479E0
3.769993750E0,-2.298433542E0,-3.160346150E-1,1.016099167E1
3.794989062E0,-6.129156351E-1,8.810662031E-1,9.030928612E0
3.819985937E0,-2.624045134E0,-1.350329757E0,1.100375080E1
3.844982812E0,-1.130063176E0,4.118026793E-1,8.992621422E0
3.865004687E0,-3.150769472E0,9.672574997E-1,8.111555099E0
3.890003125E0,-2.691082716E0,7.661445439E-2,8.992621422E0
3.914998437E0,-1.618480325E0,-4.788403511E-1,8.619126320E0
3.939995312E0,-1.666364431E0,1.101332784E0,1.000776291E1
3.964990625E0,1.043871999E0,1.589749932E0,7.651868820E0
3.989987500E0,-1.053448796E0,-6.703764796E-1,9.624691010E0
4.014984375E0,-4.979939461E-1,-2.212242365E0,1.072602367E1
4.039981250E0,-1.063025594E0,-8.044517636E-1,1.025675964E1
4.060003125E0,-1.790862918E0,1.656787634E0,1.025675964E1
4.085000000E0,-6.416460276E-1,3.217807055E0,8.322244644E0
4.110015625E0,-2.777273953E-1,2.758120298E0,8.398859978E0
4.134992187E0,5.650315881E-1,2.240972757E0,8.236053467E0
4.160012500E0,1.024718285E0,1.580173135E0,8.791508675E0
