"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.735001562E0,-2.143750000E1,-2.018750000E1,-3.381250000E1
2.765004687E0,-2.137500000E1,-2.018750000E1,-3.393750000E1
2.795006250E0,-2.075000000E1,-2.050000000E1,-3.412500000E1
2.824992187E0,-2.031250000E1,-1.962500000E1,-3.443750000E1
2.844998437E0,-2.012500000E1,-1.881250000E1,-3.425000000E1
2.875001562E0,-1.956250000E1,-1.900000000E1,-3.487500000E1
2.905003125E0,-1.987500000E1,-1.900000000E1,-3.537500000E1
2.935004687E0,-1.950000000E1,-1.775000000E1,-3.487500000E1
2.964975000E0,-1.950000000E1,-1.750000000E1,-3.468750000E1
2.984998437E0,-1.931250000E1,-1.731250000E1,-3.506250000E1
3.015000000E0,-1.875000000E1,-1.712500000E1,-3.568750000E1
3.045001562E0,-1.737500000E1,-1.693750000E1,-3.681250000E1
3.075004687E0,-1.787500000E1,-1.637500000E1,-3.725000000E1
3.105006250E0,-1.718750000E1,-1.618750000E1,-3.756250000E1
3.134976562E0,-1.693750000E1,-1.468750000E1,-3.781250000E1
3.154998437E0,-1.662500000E1,-1.425000000E1,-3.768750000E1
3.185001562E0,-1.568750000E1,-1.387500000E1,-3.806250000E1
3.215003125E0,-1.575000000E1,-1.206250000E1,-3.837500000E1
3.245004687E0,-1.525000000E1,-1.125000000E1,-3.925000000E1
3.274976562E0,-1.431250000E1,-9.437500000E0,-4.018750000E1
3.294998437E0,-1.425000000E1,-9.312500000E0,-4.037500000E1
3.325000000E0,-1.368750000E1,-8.000000000E0,-4.112500000E1
3.355001562E0,-1.368750000E1,-6.375000000E0,-4.100000000E1
3.385004687E0,-1.312500000E1,-5.687500000E0,-4.093750000E1
3.415006250E0,-1.268750000E1,-3.375000000E0,-4.143750000E1
3.444976562E0,-1.231250000E1,-2.500000000E0,-4.225000000E1
3.465000000E0,-1.162500000E1,-1.687500000E0,-4.243750000E1
3.495001562E0,-1.056250000E1,6.875000000E-1,-4.237500000E1
3.525003125E0,-1.012500000E1,2.687500000E0,-4.212500000E1
3.555004687E0,-1.012500000E1,3.625000000E0,-4.250000000E1
3.584976562E0,-9.312500000E0,4.750000000E0,-4.262500000E1
3.604998437E0,-8.875000000E0,5.312500000E0,-4.250000000E1
3.635000000E0,-8.875000000E0,6.375000000E0,-4.281250000E1
3.665001562E0,-9.750000000E0,7.875000000E0,-4.206250000E1
3.695003125E0,-1.000000000E1,8.437500000E0,-4.212500000E1
3.725006250E0,-9.312500000E0,8.812500000E0,-4.200000000E1
3.754976562E0,-1.018750000E1,9.375000000E0,-4.225000000E1
3.775000000E0,-1.106250000E1,9.375000000E0,-4.262500000E1
3.805001562E0,-1.081250000E1,8.812500000E0,-4.218750000E1
3.835003125E0,-1.112500000E1,8.250000000E0,-4.243750000E1
3.865004687E0,-1.118750000E1,7.500000000E0,-4.268750000E1
3.894976562E0,-1.156250000E1,6.062500000E0,-4.268750000E1
3.914998437E0,-1.193750000E1,6.000000000E0,-4.312500000E1
3.945000000E0,-1.206250000E1,5.375000000E0,-4.306250000E1
3.975003125E0,-1.287500000E1,4.250000000E0,-4.262500000E1
4.005004687E0,-1.375000000E1,3.125000000E0,-4.281250000E1
4.034975000E0,-1.450000000E1,1.750000000E0,-4.275000000E1
4.054996875E0,-1.393750000E1,8.125000000E-1,-4.262500000E1
4.085000000E0,-1.462500000E1,-2.500000000E-1,-4.262500000E1
4.115001562E0,-1.575000000E1,-1.000000000E0,-4.262500000E1
4.145003125E0,-1.637500000E1,-2.187500000E0,-4.243750000E1
4.175006250E0,-1.687500000E1,-3.812500000E0,-4.181250000E1
4.204975000E0,-1.787500000E1,-5.062500000E0,-4.125000000E1
4.224998437E0,-1.850000000E1,-5.875000000E0,-4.143750000E1
4.255000000E0,-1.925000000E1,-7.875000000E0,-4.125000000E1
4.285003125E0,-2.106250000E1,-9.500000000E0,-3.968750000E1
4.315004687E0,-2.125000000E1,-1.118750000E1,-3.843750000E1
4.344975000E0,-2.137500000E1,-1.306250000E1,-3.793750000E1
4.364996875E0,-2.181250000E1,-1.362500000E1,-3.768750000E1
4.395000000E0,-2.287500000E1,-1.437500000E1,-3.656250000E1
4.425001562E0,-2.400000000E1,-1.643750000E1,-3.606250000E1
4.455003125E0,-2.487500000E1,-1.718750000E1,-3.506250000E1
4.485004687E0,-2.431250000E1,-1.881250000E1,-3.418750000E1
4.514976562E0,-2.437500000E1,-1.968750000E1,-3.325000000E1
4.534998437E0,-2.481250000E1,-2.050000000E1,-3.287500000E1
4.565000000E0,-2.612500000E1,-2.131250000E1,-3.262500000E1
4.595003125E0,-2.668750000E1,-2.237500000E1,-3.187500000E1
4.625004687E0,-2.681250000E1,-2.312500000E1,-3.118750000E1
4.654975000E0,-2.762500000E1,-2.387500000E1,-3.075000000E1
4.674996875E0,-2.781250000E1,-2.437500000E1,-3.006250000E1
4.705000000E0,-2.818750000E1,-2.468750000E1,-2.931250000E1
4.735001562E0,-2.768750000E1,-2.575000000E1,-2.868750000E1
4.765003125E0,-2.775000000E1,-2.625000000E1,-2.912500000E1
4.795006250E0,-2.756250000E1,-2.662500000E1,-2.962500000E1
4.824978125E0,-2.925000000E1,-2.612500000E1,-2.968750000E1
4.844998437E0,-2.956250000E1,-2.581250000E1,-2.918750000E1
4.875000000E0,-2.893750000E1,-2.631250000E1,-2.937500000E1
4.905003125E0,-2.887500000E1,-2.568750000E1,-2.987500000E1
4.935004687E0,-2.925000000E1,-2.543750000E1,-3.012500000E1
4.964976562E0,-2.931250000E1,-2.481250000E1,-3.068750000E1
4.984996875E0,-2.931250000E1,-2.412500000E1,-3.100000000E1
5.015000000E0,-2.912500000E1,-2.350000000E1,-3.218750000E1
5.045001562E0,-2.956250000E1,-2.231250000E1,-3.325000000E1
5.075003125E0,-2.975000000E1,-2.125000000E1,-3.400000000E1
5.105006250E0,-2.906250000E1,-2.000000000E1,-3.537500000E1
5.134976562E0,-2.781250000E1,-1.881250000E1,-3.587500000E1
5.154998437E0,-2.712500000E1,-1.843750000E1,-3.593750000E1
5.185001562E0,-2.631250000E1,-1.681250000E1,-3.693750000E1
5.215003125E0,-2.531250000E1,-1.518750000E1,-3.781250000E1
5.245004687E0,-2.393750000E1,-1.387500000E1,-3.900000000E1
5.274975000E0,-2.287500000E1,-1.168750000E1,-4.000000000E1
5.294998437E0,-2.187500000E1,-1.025000000E1,-4.050000000E1
5.325000000E0,-1.956250000E1,-8.250000000E0,-4.243750000E1
5.355001562E0,-1.737500000E1,-7.062500000E0,-4.212500000E1
5.385003125E0,-1.656250000E1,-5.312500000E0,-4.218750000E1
5.415006250E0,-1.581250000E1,-3.062500000E0,-4.250000000E1
5.444976562E0,-1.487500000E1,-8.125000000E-1,-4.331250000E1
5.464998437E0,-1.437500000E1,0.000000000E0,-4.350000000E1
5.495001562E0,-1.293750000E1,1.250000000E0,-4.343750000E1
5.525003125E0,-1.068750000E1,2.625000000E0,-4.462500000E1
5.555004687E0,-8.687500000E0,3.875000000E0,-4.431250000E1
5.584975000E0,-7.375000000E0,6.437500000E0,-4.343750000E1
5.604998437E0,-6.687500000E0,7.875000000E0,-4.331250000E1
5.635000000E0,-5.937500000E0,9.750000000E0,-4.293750000E1
5.665001562E0,-5.250000000E0,1.037500000E1,-4.268750000E1
5.695004687E0,-3.937500000E0,1.225000000E1,-4.231250000E1
5.725006250E0,-2.437500000E0,1.393750000E1,-4.218750000E1
5.754976562E0,-7.500000000E-1,1.450000000E1,-4.150000000E1
5.774998437E0,-7.500000000E-1,1.431250000E1,-4.100000000E1
5.805001562E0,-2.000000000E0,1.550000000E1,-4.000000000E1
5.825025000E0,-2.312500000E0,1.606250000E1,-4.031250000E1
5.854993750E0,-3.375000000E0,1.600000000E1,-4.143750000E1
5.884995312E0,-4.000000000E0,1.462500000E1,-4.181250000E1
5.914998437E0,-3.437500000E0,1.387500000E1,-4.112500000E1
5.945000000E0,-3.937500000E0,1.350000000E1,-4.075000000E1
5.975001562E0,-4.687500000E0,1.212500000E1,-4.031250000E1
6.005004687E0,-5.562500000E0,1.100000000E1,-4.087500000E1
6.035006250E0,-6.187500000E0,9.187500000E0,-4.175000000E1
6.064976562E0,-6.125000000E0,7.750000000E0,-4.231250000E1
6.084998437E0,-6.500000000E0,6.312500000E0,-4.225000000E1
6.115001562E0,-7.125000000E0,4.625000000E0,-4.212500000E1
6.145003125E0,-8.062500000E0,3.375000000E0,-4.212500000E1
6.175004687E0,-8.562500000E0,1.875000000E0,-4.243750000E1
6.204976562E0,-1.093750000E1,-5.000000000E-1,-4.200000000E1
6.224998437E0,-1.218750000E1,-2.250000000E0,-4.150000000E1
6.255000000E0,-1.281250000E1,-4.062500000E0,-4.137500000E1
6.285001562E0,-1.412500000E1,-6.437500000E0,-4.068750000E1
6.315004687E0,-1.487500000E1,-8.375000000E0,-3.950000000E1
6.345006250E0,-1.518750000E1,-1.075000000E1,-3.787500000E1
6.374976562E0,-1.575000000E1,-1.243750000E1,-3.812500000E1
6.394998437E0,-1.606250000E1,-1.306250000E1,-3.856250000E1
6.425001562E0,-1.681250000E1,-1.512500000E1,-3.762500000E1
6.455003125E0,-1.687500000E1,-1.731250000E1,-3.668750000E1
6.485004687E0,-1.687500000E1,-1.850000000E1,-3.637500000E1
6.514976562E0,-1.718750000E1,-1.912500000E1,-3.537500000E1
6.534998437E0,-1.700000000E1,-1.962500000E1,-3.462500000E1
6.565000000E0,-1.643750000E1,-2.112500000E1,-3.487500000E1
6.595001562E0,-1.675000000E1,-2.256250000E1,-3.500000000E1
6.625004687E0,-1.718750000E1,-2.325000000E1,-3.425000000E1
6.655006250E0,-1.675000000E1,-2.375000000E1,-3.337500000E1
6.684976562E0,-1.743750000E1,-2.356250000E1,-3.331250000E1
6.704998437E0,-1.781250000E1,-2.368750000E1,-3.362500000E1
6.735001562E0,-1.906250000E1,-2.381250000E1,-3.287500000E1
6.765003125E0,-1.887500000E1,-2.443750000E1,-3.306250000E1
6.795004687E0,-1.943750000E1,-2.350000000E1,-3.381250000E1
6.824976562E0,-1.975000000E1,-2.137500000E1,-3.431250000E1
6.844998437E0,-1.987500000E1,-2.100000000E1,-3.418750000E1
6.875000000E0,-1.962500000E1,-2.056250000E1,-3.456250000E1
6.905001562E0,-1.912500000E1,-2.056250000E1,-3.431250000E1
6.935004687E0,-1.937500000E1,-1.993750000E1,-3.506250000E1
6.964975000E0,-1.943750000E1,-1.950000000E1,-3.543750000E1
6.984996875E0,-1.931250000E1,-1.931250000E1,-3.618750000E1
7.014998437E0,-1.912500000E1,-1.762500000E1,-3.693750000E1
7.045001562E0,-1.850000000E1,-1.643750000E1,-3.706250000E1
7.075003125E0,-1.793750000E1,-1.556250000E1,-3.812500000E1
7.105006250E0,-1.687500000E1,-1.450000000E1,-3.943750000E1
7.134976562E0,-1.543750000E1,-1.281250000E1,-3.993750000E1
7.154998437E0,-1.468750000E1,-1.125000000E1,-4.031250000E1
7.185000000E0,-1.400000000E1,-1.037500000E1,-4.137500000E1
7.215001562E0,-1.318750000E1,-9.062500000E0,-4.231250000E1
7.245004687E0,-1.168750000E1,-6.375000000E0,-4.206250000E1
7.274975000E0,-1.018750000E1,-5.562500000E0,-4.231250000E1
7.294996875E0,-9.187500000E0,-4.437500000E0,-4.287500000E1
7.325042187E0,-8.562500000E0,-1.937500000E0,-4.356250000E1
7.355001562E0,-7.625000000E0,1.875000000E-1,-4.318750000E1
7.385003125E0,-6.812500000E0,2.062500000E0,-4.400000000E1
7.415006250E0,-6.437500000E0,3.062500000E0,-4.375000000E1
7.444976562E0,-6.000000000E0,5.625000000E0,-4.325000000E1
7.464998437E0,-5.687500000E0,6.687500000E0,-4.325000000E1
7.495000000E0,-5.375000000E0,7.875000000E0,-4.268750000E1
7.525003125E0,-5.750000000E0,9.187500000E0,-4.300000000E1
7.555004687E0,-6.750000000E0,1.056250000E1,-4.318750000E1
7.584975000E0,-7.250000000E0,1.050000000E1,-4.243750000E1
7.604996875E0,-7.875000000E0,1.037500000E1,-4.212500000E1
7.635000000E0,-8.437500000E0,1.031250000E1,-4.287500000E1
7.665001562E0,-8.625000000E0,1.037500000E1,-4.343750000E1
7.695003125E0,-8.187500000E0,9.687500000E0,-4.218750000E1
7.725004687E0,-9.375000000E0,8.875000000E0,-4.175000000E1
7.754976562E0,-1.025000000E1,7.625000000E0,-4.256250000E1
7.774998437E0,-1.050000000E1,6.625000000E0,-4.281250000E1
7.805000000E0,-1.150000000E1,3.937500000E0,-4.312500000E1
7.835003125E0,-1.237500000E1,3.625000000E0,-4.243750000E1
7.865004687E0,-1.381250000E1,2.625000000E0,-4.206250000E1
7.894975000E0,-1.543750000E1,8.750000000E-1,-4.187500000E1
7.914996875E0,-1.587500000E1,-3.750000000E-1,-4.187500000E1
7.945000000E0,-1.631250000E1,-3.062500000E0,-4.125000000E1
7.975001562E0,-1.712500000E1,-5.250000000E0,-4.106250000E1
8.005003125E0,-1.762500000E1,-6.812500000E0,-4.137500000E1
8.035006250E0,-1.806250000E1,-9.250000000E0,-3.943750000E1
8.064976562E0,-1.812500000E1,-1.093750000E1,-3.962500000E1
8.084998437E0,-1.856250000E1,-1.162500000E1,-3.993750000E1
8.115001562E0,-1.868750000E1,-1.343750000E1,-3.806250000E1
