"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.094979687E0,-5.267243981E-1,-8.331822157E-1,9.883264542E0
2.115001562E0,-4.022258818E-1,-8.331822157E-1,9.883264542E0
2.139998437E0,-2.489969730E-1,-7.757213712E-1,9.835380554E0
2.164995312E0,-4.788403213E-2,-7.948749661E-1,9.777919769E0
2.189990625E0,1.915361360E-2,-8.331822157E-1,9.768342972E0
2.214987500E0,-3.830722719E-2,-7.278373241E-1,9.806650162E0
2.239984375E0,-2.394201756E-1,-6.033388376E-1,9.835380554E0
2.264981250E0,-3.830722570E-1,-5.841852427E-1,9.844957352E0
2.285003125E0,-2.873041928E-1,-6.703764796E-1,9.854534149E0
2.310000000E0,-2.873042040E-2,-8.236053586E-1,9.883264542E0
2.334996875E0,-4.788403213E-2,-8.236053586E-1,9.835380554E0
2.359992187E0,-1.436520964E-1,-7.374141216E-1,9.749189377E0
2.384989062E0,-1.628057212E-1,-7.948749661E-1,9.864110947E0
2.409984375E0,-2.489969730E-1,-8.427590132E-1,9.854534149E0
2.434982812E0,-3.160346150E-1,-8.427590132E-1,9.854534149E0
2.455004687E0,-3.160346150E-1,-7.852981687E-1,9.787496567E0
2.480000000E0,-3.160346150E-1,-8.044517636E-1,9.816226959E0
2.504996875E0,-2.968810201E-1,-7.661445141E-1,9.902418137E0
2.529993750E0,-3.447650373E-1,-7.182605267E-1,9.825803757E0
2.554989062E0,-3.639186621E-1,-7.565677166E-1,9.768342972E0
2.579987500E0,-3.160346150E-1,-7.948749661E-1,9.835380554E0
2.604982812E0,-2.777273953E-1,-7.757213712E-1,9.854534149E0
2.629979687E0,-3.064578176E-1,-7.374141216E-1,9.816226959E0
2.650001562E0,-2.873041928E-1,-7.565677166E-1,9.806650162E0
2.674998437E0,-2.394201756E-1,-7.565677166E-1,9.816226959E0
2.699993750E0,-2.202665508E-1,-7.469909191E-1,9.835380554E0
2.724990625E0,-1.915361285E-1,-7.278373241E-1,9.835380554E0
2.749987500E0,-2.011129409E-1,-7.086837292E-1,9.873687744E0
2.774984375E0,-1.340752989E-1,-7.182605267E-1,9.854534149E0
2.799981250E0,-1.340752989E-1,-7.469909191E-1,9.844957352E0
2.820003125E0,-1.628057212E-1,-7.278373241E-1,9.835380554E0
2.845000000E0,-1.628057212E-1,-7.757213712E-1,9.844957352E0
2.869995312E0,-1.340752989E-1,-7.948749661E-1,9.825803757E0
2.894992187E0,-1.149216816E-1,-7.852981687E-1,9.854534149E0
2.919989062E0,-1.340752989E-1,-7.661445141E-1,9.854534149E0
2.944984375E0,-1.532289088E-1,-7.852981687E-1,9.816226959E0
2.969981250E0,-1.532289088E-1,-8.236053586E-1,9.797073364E0
2.990003125E0,-1.723825186E-1,-7.852981687E-1,9.806650162E0
3.015000000E0,-2.394201756E-1,-7.469909191E-1,9.835380554E0
3.040021875E0,-2.873041928E-1,-7.565677166E-1,9.816226959E0
3.064993750E0,-2.585737705E-1,-7.565677166E-1,9.835380554E0
3.089990625E0,-2.394201756E-1,-7.852981687E-1,9.806650162E0
3.114985937E0,-2.298433632E-1,-7.374141216E-1,9.777919769E0
3.139982812E0,-2.298433632E-1,-7.278373241E-1,9.797073364E0
3.164978125E0,-2.489969730E-1,-7.948749661E-1,9.816226959E0
3.185001562E0,-2.585737705E-1,-7.948749661E-1,9.816226959E0
3.209998437E0,-2.298433632E-1,-7.469909191E-1,9.816226959E0
3.234993750E0,-2.394201756E-1,-7.469909191E-1,9.787496567E0
3.259990625E0,-2.106897533E-1,-7.948749661E-1,9.768342972E0
3.284987500E0,-2.106897533E-1,-8.044517636E-1,9.816226959E0
3.309984375E0,-2.011129409E-1,-7.948749661E-1,9.835380554E0
3.334979687E0,-2.202665508E-1,-7.374141216E-1,9.797073364E0
3.355003125E0,-2.298433632E-1,-7.565677166E-1,9.777919769E0
3.380000000E0,-2.106897533E-1,-7.757213712E-1,9.787496567E0
3.404995312E0,-2.202665508E-1,-7.565677166E-1,9.787496567E0
3.429992187E0,-2.106897533E-1,-7.565677166E-1,9.806650162E0
3.454987500E0,-1.819593310E-1,-7.757213712E-1,9.787496567E0
3.479985937E0,-1.723825186E-1,-7.757213712E-1,9.797073364E0
3.504981250E0,-2.106897533E-1,-7.852981687E-1,9.806650162E0
3.525003125E0,-1.915361285E-1,-8.044517636E-1,9.777919769E0
3.550000000E0,-2.394201756E-1,-7.757213712E-1,9.835380554E0
3.574996875E0,-2.298433632E-1,-7.757213712E-1,9.816226959E0
3.599993750E0,-2.106897533E-1,-7.278373241E-1,9.797073364E0
3.624989062E0,-1.819593310E-1,-7.374141216E-1,9.768342972E0
3.649985937E0,-2.011129409E-1,-7.565677166E-1,9.806650162E0
3.674982812E0,-2.011129409E-1,-7.661445141E-1,9.797073364E0
3.695004687E0,-2.011129409E-1,-7.469909191E-1,9.797073364E0
3.720001562E0,-1.723825186E-1,-7.565677166E-1,9.787496567E0
3.744996875E0,-1.915361285E-1,-7.852981687E-1,9.806650162E0
3.769995312E0,-2.106897533E-1,-7.757213712E-1,9.806650162E0
3.794990625E0,-2.202665508E-1,-8.044517636E-1,9.768342972E0
3.819995312E0,-2.106897533E-1,-8.140285611E-1,9.749189377E0
3.844982812E0,-1.915361285E-1,-7.948749661E-1,9.797073364E0
3.869979687E0,-2.202665508E-1,-7.374141216E-1,9.787496567E0
3.890001562E0,-2.202665508E-1,-7.757213712E-1,9.768342972E0
3.914998437E0,-2.298433632E-1,-7.757213712E-1,9.835380554E0
3.940004687E0,-2.106897533E-1,-7.182605267E-1,9.825803757E0
3.964992187E0,-2.489969730E-1,-6.991068721E-1,9.758766174E0
3.989987500E0,-2.202665508E-1,-7.661445141E-1,9.758766174E0
4.014984375E0,-2.011129409E-1,-7.757213712E-1,9.816226959E0
4.039981250E0,-2.011129409E-1,-7.948749661E-1,9.797073364E0
4.060003125E0,-1.915361285E-1,-7.948749661E-1,9.777919769E0
4.085000000E0,-1.723825186E-1,-7.852981687E-1,9.768342972E0
4.109996875E0,-1.819593310E-1,-7.852981687E-1,9.806650162E0
4.134993750E0,-2.106897533E-1,-7.661445141E-1,9.787496567E0
4.159989062E0,-2.489969730E-1,-7.757213712E-1,9.777919769E0
4.184985937E0,-2.585737705E-1,-7.661445141E-1,9.787496567E0
4.209982812E0,-2.298433632E-1,-7.374141216E-1,9.816226959E0
4.230004687E0,-2.298433632E-1,-7.469909191E-1,9.787496567E0
4.255000000E0,-1.819593310E-1,-7.469909191E-1,9.787496567E0
4.279996875E0,-1.915361285E-1,-7.565677166E-1,9.797073364E0
4.300003125E0,-2.011129409E-1,-7.852981687E-1,9.806650162E0
4.324984375E0,-1.915361285E-1,-7.852981687E-1,9.777919769E0
4.345018750E0,-1.723825186E-1,-7.757213712E-1,9.797073364E0
4.370004687E0,-2.011129409E-1,-7.757213712E-1,9.797073364E0
4.395000000E0,-1.723825186E-1,-7.565677166E-1,9.787496567E0
4.419998437E0,-1.819593310E-1,-7.374141216E-1,9.797073364E0
4.444992187E0,-2.298433632E-1,-7.565677166E-1,9.787496567E0
4.469989062E0,-2.202665508E-1,-7.757213712E-1,9.777919769E0
4.494985937E0,-2.202665508E-1,-7.757213712E-1,9.797073364E0
4.519982812E0,-2.202665508E-1,-7.852981687E-1,9.758766174E0
4.540004687E0,-2.106897533E-1,-8.044517636E-1,9.777919769E0
4.565001562E0,-2.394201756E-1,-8.044517636E-1,9.768342972E0
4.589996875E0,-2.202665508E-1,-8.140285611E-1,9.787496567E0
4.614993750E0,-2.106897533E-1,-7.661445141E-1,9.806650162E0
4.639990625E0,-1.723825186E-1,-7.469909191E-1,9.768342972E0
4.660003125E0,-1.723825186E-1,-7.565677166E-1,9.797073364E0
4.680003125E0,-2.298433632E-1,-7.565677166E-1,9.787496567E0
4.705000000E0,-1.915361285E-1,-7.469909191E-1,9.816226959E0
4.729996875E0,-1.915361285E-1,-7.182605267E-1,9.806650162E0
4.754992187E0,-2.011129409E-1,-7.661445141E-1,9.787496567E0
4.779998437E0,-2.202665508E-1,-7.852981687E-1,9.768342972E0
4.804985937E0,-2.011129409E-1,-7.374141216E-1,9.758766174E0
4.829982812E0,-2.106897533E-1,-7.852981687E-1,9.777919769E0
4.850004687E0,-2.106897533E-1,-8.044517636E-1,9.787496567E0
4.875001562E0,-2.106897533E-1,-7.948749661E-1,9.806650162E0
4.900015625E0,-2.106897533E-1,-7.661445141E-1,9.777919769E0
4.924993750E0,-2.011129409E-1,-7.852981687E-1,9.749189377E0
4.949992187E0,-1.723825186E-1,-7.757213712E-1,9.816226959E0
4.974987500E0,-1.819593310E-1,-7.374141216E-1,9.787496567E0
4.999984375E0,-1.723825186E-1,-7.469909191E-1,9.787496567E0
5.024979687E0,-1.723825186E-1,-7.661445141E-1,9.768342972E0
5.045001562E0,-1.628057212E-1,-7.757213712E-1,9.787496567E0
5.069998437E0,-1.819593310E-1,-7.948749661E-1,9.787496567E0
5.094995312E0,-2.202665508E-1,-7.565677166E-1,9.797073364E0
5.119992187E0,-2.011129409E-1,-7.565677166E-1,9.768342972E0
5.144987500E0,-2.298433632E-1,-7.374141216E-1,9.777919769E0
5.169984375E0,-1.819593310E-1,-7.661445141E-1,9.768342972E0
5.194981250E0,-1.819593310E-1,-7.948749661E-1,9.749189377E0
5.215003125E0,-1.723825186E-1,-7.852981687E-1,9.797073364E0
5.240000000E0,-1.915361285E-1,-7.757213712E-1,9.787496567E0
5.264996875E0,-2.011129409E-1,-7.852981687E-1,9.768342972E0
5.289993750E0,-1.915361285E-1,-7.757213712E-1,9.787496567E0
5.314989062E0,-2.106897533E-1,-7.757213712E-1,9.787496567E0
5.339985937E0,-1.915361285E-1,-7.661445141E-1,9.787496567E0
5.364981250E0,-2.011129409E-1,-7.374141216E-1,9.768342972E0
5.385004687E0,-2.106897533E-1,-7.469909191E-1,9.806650162E0
5.410001562E0,-2.202665508E-1,-7.565677166E-1,9.777919769E0
5.434996875E0,-2.298433632E-1,-7.661445141E-1,9.777919769E0
5.459993750E0,-1.819593310E-1,-7.374141216E-1,9.806650162E0
5.484989062E0,-1.723825186E-1,-7.565677166E-1,9.749189377E0
5.509987500E0,-2.011129409E-1,-7.948749661E-1,9.806650162E0
5.534984375E0,-1.532289088E-1,-7.661445141E-1,9.806650162E0
5.559979687E0,-1.628057212E-1,-7.374141216E-1,9.806650162E0
5.580003125E0,-1.436520964E-1,-7.661445141E-1,9.797073364E0
5.604998437E0,-1.723825186E-1,-7.948749661E-1,9.777919769E0
5.629995312E0,-1.723825186E-1,-7.948749661E-1,9.787496567E0
5.654990625E0,-1.819593310E-1,-7.757213712E-1,9.787496567E0
5.679987500E0,-1.819593310E-1,-7.565677166E-1,9.787496567E0
5.704984375E0,-1.915361285E-1,-7.565677166E-1,9.797073364E0
5.729981250E0,-2.011129409E-1,-7.374141216E-1,9.797073364E0
5.750003125E0,-1.723825186E-1,-7.565677166E-1,9.768342972E0
5.774998437E0,-1.436520964E-1,-7.757213712E-1,9.768342972E0
5.799996875E0,-1.532289088E-1,-7.661445141E-1,9.816226959E0
5.824992187E0,-2.106897533E-1,-7.182605267E-1,9.787496567E0
5.849989062E0,-2.489969730E-1,-7.469909191E-1,9.768342972E0
5.874984375E0,-2.585737705E-1,-7.469909191E-1,9.787496567E0
5.899982812E0,-2.394201756E-1,-7.948749661E-1,9.768342972E0
5.920004687E0,-2.394201756E-1,-7.852981687E-1,9.806650162E0
5.945000000E0,-1.819593310E-1,-8.044517636E-1,9.816226959E0
5.969996875E0,-1.340752989E-1,-7.757213712E-1,9.777919769E0
5.990032812E0,-8.619125932E-2,-7.661445141E-1,9.739612579E0
6.014984375E0,-1.053448766E-1,-7.852981687E-1,9.749189377E0
6.039981250E0,-2.011129409E-1,-8.427590132E-1,9.797073364E0
6.060003125E0,-2.585737705E-1,-8.140285611E-1,9.854534149E0
6.085000000E0,-2.777273953E-1,-7.661445141E-1,9.768342972E0
6.109996875E0,-2.394201756E-1,-7.948749661E-1,9.749189377E0
6.134992187E0,-2.011129409E-1,-8.427590132E-1,9.854534149E0
6.159989062E0,-1.532289088E-1,-8.140285611E-1,9.864110947E0
6.184984375E0,-1.149216816E-1,-8.044517636E-1,9.902418137E0
6.209982812E0,-1.436520964E-1,-7.852981687E-1,9.691728592E0
6.230004687E0,-1.723825186E-1,-7.278373241E-1,9.758766174E0
6.255000000E0,-2.011129409E-1,-7.661445141E-1,9.528923035E0
6.279998437E0,-4.788403213E-2,-7.948749661E-1,9.672574997E0
6.304993750E0,-9.576806426E-2,-7.374141216E-1,9.854534149E0
6.329990625E0,-3.256114423E-1,-6.416460276E-1,9.730035782E0
6.354985937E0,-4.309563041E-1,-5.650315881E-1,9.806650162E0
6.379982812E0,-5.363011956E-1,-6.033388376E-1,9.768342972E0
6.404979687E0,-4.884171486E-1,-6.607996821E-1,9.873687744E0
6.425001562E0,-4.022258818E-1,-6.320692301E-1,9.864110947E0
6.449998437E0,-3.830722570E-1,-6.703764796E-1,9.768342972E0
6.474993750E0,-3.543418646E-1,-6.799532771E-1,9.739612579E0
6.499992187E0,-3.447650373E-1,-7.374141216E-1,9.854534149E0
6.524987500E0,-3.160346150E-1,-7.374141216E-1,9.720458984E0
6.549984375E0,-2.585737705E-1,-8.044517636E-1,9.777919769E0
6.574981250E0,-2.777273953E-1,-8.523358107E-1,9.825803757E0
6.595003125E0,-2.585737705E-1,-8.714894056E-1,9.873687744E0
6.620000000E0,-2.298433632E-1,-7.469909191E-1,9.720458984E0
6.644995312E0,-1.340752989E-1,-7.278373241E-1,9.768342972E0
6.669992187E0,-2.011129409E-1,-7.086837292E-1,9.806650162E0
6.694989062E0,-1.340752989E-1,-7.182605267E-1,9.643844604E0
6.719985937E0,-1.915361285E-1,-7.086837292E-1,9.825803757E0
6.744981250E0,-3.543418646E-1,-6.224924326E-1,9.902418137E0
6.765003125E0,-3.447650373E-1,-5.841852427E-1,9.672574997E0
6.790000000E0,-2.011129409E-1,-6.224924326E-1,9.777919769E0
6.814996875E0,-2.777273953E-1,-6.320692301E-1,9.825803757E0
6.839993750E0,-3.926490843E-1,-6.799532771E-1,9.777919769E0
6.864998437E0,-3.926490843E-1,-6.991068721E-1,9.634267807E0
6.889987500E0,-6.703764945E-2,-7.278373241E-1,9.634267807E0
6.914982812E0,-2.202665508E-1,-7.469909191E-1,9.730035782E0
6.935004687E0,-4.213795066E-1,-7.278373241E-1,9.816226959E0
6.960001562E0,-3.064578176E-1,-5.841852427E-1,9.730035782E0
6.984998437E0,-3.447650373E-1,-6.129156351E-1,9.777919769E0
7.009993750E0,-4.884171486E-1,-6.703764796E-1,9.825803757E0
7.034990625E0,-4.022258818E-1,-6.703764796E-1,9.768342972E0
7.059985937E0,-3.543418646E-1,-6.799532771E-1,9.682151794E0
7.084982812E0,-1.149216816E-1,-7.661445141E-1,9.634267807E0
7.109981250E0,-7.661445439E-2,-8.523358107E-1,9.701305389E0
7.130003125E0,-2.681505978E-1,-8.427590132E-1,9.758766174E0
7.154998437E0,-3.160346150E-1,-7.469909191E-1,9.825803757E0
7.180017187E0,-3.351882398E-1,-7.469909191E-1,9.816226959E0
7.204992187E0,-4.979939461E-1,-7.278373241E-1,9.940725327E0
7.229987500E0,-4.596867263E-1,-6.895300746E-1,1.004607010E1
7.254984375E0,-3.351882398E-1,-6.607996821E-1,9.835380554E0
7.279981250E0,-3.447650373E-1,-6.607996821E-1,9.739612579E0
7.300004687E0,-3.543418646E-1,-6.416460276E-1,9.691728592E0
7.325000000E0,-3.160346150E-1,-6.320692301E-1,9.787496567E0
7.349996875E0,-4.979939461E-1,-6.224924326E-1,9.911994934E0
7.374992187E0,-5.171475410E-1,-6.320692301E-1,9.777919769E0
7.399989062E0,-4.118026793E-1,-7.182605267E-1,9.768342972E0
7.420006250E0,-3.734954596E-1,-6.991068721E-1,9.768342972E0
7.444976562E0,-3.734954596E-1,-6.703764796E-1,9.749189377E0
7.464998437E0,-3.351882398E-1,-6.799532771E-1,9.768342972E0
7.489995312E0,-2.585737705E-1,-7.469909191E-1,9.787496567E0
7.514992187E0,-3.926490843E-1,-6.703764796E-1,9.816226959E0
