"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.285001562E0,-1.350000000E1,1.575000000E1,-4.387500000E1
8.315004687E0,-1.350000000E1,1.587500000E1,-4.450000000E1
8.344975000E0,-1.350000000E1,1.487500000E1,-4.500000000E1
8.364996875E0,-1.362500000E1,1.493750000E1,-4.506250000E1
8.394998437E0,-1.375000000E1,1.587500000E1,-4.500000000E1
8.425001562E0,-1.437500000E1,1.562500000E1,-4.456250000E1
8.455003125E0,-1.406250000E1,1.550000000E1,-4.393750000E1
8.484973437E0,-1.406250000E1,1.568750000E1,-4.443750000E1
8.504995312E0,-1.387500000E1,1.612500000E1,-4.400000000E1
8.535000000E0,-1.350000000E1,1.568750000E1,-4.418750000E1
8.565000000E0,-1.412500000E1,1.550000000E1,-4.462500000E1
8.595003125E0,-1.375000000E1,1.487500000E1,-4.475000000E1
8.625004687E0,-1.287500000E1,1.525000000E1,-4.418750000E1
8.654975000E0,-1.325000000E1,1.531250000E1,-4.468750000E1
8.674996875E0,-1.368750000E1,1.500000000E1,-4.443750000E1
8.705000000E0,-1.375000000E1,1.493750000E1,-4.393750000E1
8.735001562E0,-1.400000000E1,1.537500000E1,-4.387500000E1
8.765003125E0,-1.400000000E1,1.550000000E1,-4.443750000E1
8.794973437E0,-1.387500000E1,1.550000000E1,-4.456250000E1
8.814995312E0,-1.418750000E1,1.581250000E1,-4.456250000E1
8.844998437E0,-1.375000000E1,1.587500000E1,-4.443750000E1
8.875000000E0,-1.381250000E1,1.518750000E1,-4.443750000E1
8.905001562E0,-1.375000000E1,1.525000000E1,-4.393750000E1
8.935004687E0,-1.381250000E1,1.531250000E1,-4.368750000E1
8.964975000E0,-1.393750000E1,1.568750000E1,-4.431250000E1
8.984996875E0,-1.412500000E1,1.531250000E1,-4.412500000E1
9.015000000E0,-1.431250000E1,1.581250000E1,-4.406250000E1
9.045001562E0,-1.356250000E1,1.587500000E1,-4.393750000E1
9.075003125E0,-1.362500000E1,1.493750000E1,-4.418750000E1
9.104975000E0,-1.443750000E1,1.600000000E1,-4.406250000E1
9.124996875E0,-1.431250000E1,1.631250000E1,-4.443750000E1
9.154998437E0,-1.356250000E1,1.550000000E1,-4.506250000E1
9.185000000E0,-1.387500000E1,1.562500000E1,-4.462500000E1
9.215001562E0,-1.325000000E1,1.575000000E1,-4.362500000E1
9.245004687E0,-1.281250000E1,1.531250000E1,-4.400000000E1
9.274975000E0,-1.325000000E1,1.537500000E1,-4.412500000E1
9.294996875E0,-1.356250000E1,1.581250000E1,-4.387500000E1
9.325000000E0,-1.431250000E1,1.550000000E1,-4.437500000E1
9.345032812E0,-1.450000000E1,1.550000000E1,-4.450000000E1
9.374992187E0,-1.418750000E1,1.575000000E1,-4.400000000E1
9.404993750E0,-1.375000000E1,1.593750000E1,-4.387500000E1
9.434996875E0,-1.350000000E1,1.600000000E1,-4.362500000E1
9.464998437E0,-1.456250000E1,1.612500000E1,-4.412500000E1
9.495000000E0,-1.537500000E1,1.500000000E1,-4.462500000E1
9.525003125E0,-1.412500000E1,1.481250000E1,-4.393750000E1
9.555004687E0,-1.418750000E1,1.550000000E1,-4.412500000E1
9.584976562E0,-1.412500000E1,1.625000000E1,-4.406250000E1
9.604996875E0,-1.425000000E1,1.612500000E1,-4.393750000E1
9.635000000E0,-1.393750000E1,1.537500000E1,-4.368750000E1
9.665001562E0,-1.381250000E1,1.543750000E1,-4.368750000E1
9.695003125E0,-1.356250000E1,1.606250000E1,-4.343750000E1
9.724975000E0,-1.337500000E1,1.537500000E1,-4.331250000E1
9.744996875E0,-1.393750000E1,1.493750000E1,-4.381250000E1
9.774998437E0,-1.381250000E1,1.531250000E1,-4.462500000E1
9.805000000E0,-1.362500000E1,1.581250000E1,-4.500000000E1
9.835003125E0,-1.387500000E1,1.618750000E1,-4.418750000E1
9.865004687E0,-1.387500000E1,1.581250000E1,-4.425000000E1
9.894975000E0,-1.337500000E1,1.550000000E1,-4.412500000E1
9.914998437E0,-1.331250000E1,1.562500000E1,-4.437500000E1
9.945000000E0,-1.387500000E1,1.568750000E1,-4.418750000E1
9.975001562E0,-1.425000000E1,1.518750000E1,-4.368750000E1
1.000500312E1,-1.356250000E1,1.525000000E1,-4.400000000E1
1.003497500E1,-1.275000000E1,1.581250000E1,-4.393750000E1
1.005499688E1,-1.293750000E1,1.656250000E1,-4.387500000E1
1.008499844E1,-1.318750000E1,1.687500000E1,-4.400000000E1
1.011500000E1,-1.362500000E1,1.606250000E1,-4.387500000E1
1.014500312E1,-1.337500000E1,1.550000000E1,-4.368750000E1
1.017500469E1,-1.350000000E1,1.525000000E1,-4.362500000E1
1.020497500E1,-1.312500000E1,1.556250000E1,-4.387500000E1
1.022499688E1,-1.312500000E1,1.581250000E1,-4.406250000E1
1.025500000E1,-1.356250000E1,1.593750000E1,-4.425000000E1
1.028500156E1,-1.387500000E1,1.593750000E1,-4.356250000E1
1.031500469E1,-1.406250000E1,1.550000000E1,-4.331250000E1
1.034497500E1,-1.368750000E1,1.562500000E1,-4.400000000E1
1.036499688E1,-1.406250000E1,1.556250000E1,-4.387500000E1
1.039499844E1,-1.450000000E1,1.543750000E1,-4.406250000E1
1.042500156E1,-1.412500000E1,1.550000000E1,-4.487500000E1
1.045500313E1,-1.318750000E1,1.637500000E1,-4.387500000E1
1.048497344E1,-1.350000000E1,1.668750000E1,-4.381250000E1
1.050499531E1,-1.350000000E1,1.656250000E1,-4.393750000E1
1.053499844E1,-1.350000000E1,1.581250000E1,-4.350000000E1
1.056500000E1,-1.406250000E1,1.593750000E1,-4.418750000E1
1.059500156E1,-1.362500000E1,1.556250000E1,-4.400000000E1
1.062500469E1,-1.356250000E1,1.587500000E1,-4.356250000E1
1.065497500E1,-1.337500000E1,1.612500000E1,-4.362500000E1
1.067499688E1,-1.331250000E1,1.625000000E1,-4.337500000E1
1.070499844E1,-1.375000000E1,1.600000000E1,-4.343750000E1
1.073500156E1,-1.425000000E1,1.537500000E1,-4.412500000E1
1.076500312E1,-1.368750000E1,1.568750000E1,-4.450000000E1
1.079497344E1,-1.331250000E1,1.656250000E1,-4.443750000E1
1.081499531E1,-1.393750000E1,1.643750000E1,-4.425000000E1
1.084499844E1,-1.412500000E1,1.606250000E1,-4.462500000E1
1.087500000E1,-1.381250000E1,1.618750000E1,-4.450000000E1
1.090500156E1,-1.375000000E1,1.587500000E1,-4.418750000E1
1.093500313E1,-1.337500000E1,1.575000000E1,-4.406250000E1
1.096497500E1,-1.337500000E1,1.612500000E1,-4.400000000E1
1.098499688E1,-1.356250000E1,1.568750000E1,-4.393750000E1
1.101499844E1,-1.362500000E1,1.568750000E1,-4.400000000E1
1.104500156E1,-1.350000000E1,1.568750000E1,-4.412500000E1
1.107500312E1,-1.368750000E1,1.550000000E1,-4.450000000E1
1.110497344E1,-1.400000000E1,1.562500000E1,-4.387500000E1
1.112499688E1,-1.412500000E1,1.618750000E1,-4.368750000E1
1.115499844E1,-1.475000000E1,1.556250000E1,-4.431250000E1
1.118500000E1,-1.412500000E1,1.612500000E1,-4.475000000E1
1.121500156E1,-1.275000000E1,1.618750000E1,-4.443750000E1
1.124500469E1,-1.375000000E1,1.556250000E1,-4.412500000E1
1.127497500E1,-1.368750000E1,1.543750000E1,-4.368750000E1
1.129499688E1,-1.287500000E1,1.575000000E1,-4.368750000E1
1.132499844E1,-1.306250000E1,1.618750000E1,-4.400000000E1
1.135500156E1,-1.362500000E1,1.575000000E1,-4.412500000E1
1.138500312E1,-1.381250000E1,1.537500000E1,-4.406250000E1
1.141497344E1,-1.387500000E1,1.531250000E1,-4.393750000E1
1.143499531E1,-1.425000000E1,1.543750000E1,-4.450000000E1
1.146499844E1,-1.381250000E1,1.512500000E1,-4.431250000E1
1.149500000E1,-1.331250000E1,1.618750000E1,-4.306250000E1
1.152500156E1,-1.362500000E1,1.637500000E1,-4.343750000E1
1.155500469E1,-1.418750000E1,1.543750000E1,-4.375000000E1
