"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.425001562E0,-1.362500000E1,1.612500000E1,-4.387500000E1
2.455004687E0,-1.337500000E1,1.606250000E1,-4.406250000E1
2.484975000E0,-1.356250000E1,1.693750000E1,-4.356250000E1
2.504996875E0,-1.362500000E1,1.700000000E1,-4.431250000E1
2.535000000E0,-1.337500000E1,1.612500000E1,-4.362500000E1
2.565001562E0,-1.331250000E1,1.575000000E1,-4.337500000E1
2.595003125E0,-1.368750000E1,1.593750000E1,-4.306250000E1
2.624973437E0,-1.343750000E1,1.637500000E1,-4.300000000E1
2.644995312E0,-1.362500000E1,1.643750000E1,-4.381250000E1
2.674998437E0,-1.387500000E1,1.625000000E1,-4.450000000E1
2.705000000E0,-1.312500000E1,1.637500000E1,-4.431250000E1
2.735001562E0,-1.368750000E1,1.650000000E1,-4.431250000E1
2.765004687E0,-1.306250000E1,1.662500000E1,-4.343750000E1
2.794975000E0,-1.331250000E1,1.687500000E1,-4.400000000E1
2.814996875E0,-1.368750000E1,1.656250000E1,-4.431250000E1
2.845000000E0,-1.362500000E1,1.643750000E1,-4.450000000E1
2.875001562E0,-1.356250000E1,1.612500000E1,-4.450000000E1
2.905003125E0,-1.406250000E1,1.562500000E1,-4.375000000E1
2.934973437E0,-1.381250000E1,1.612500000E1,-4.356250000E1
2.954995312E0,-1.375000000E1,1.637500000E1,-4.406250000E1
2.984998437E0,-1.393750000E1,1.662500000E1,-4.393750000E1
3.015000000E0,-1.406250000E1,1.662500000E1,-4.362500000E1
3.045001562E0,-1.443750000E1,1.606250000E1,-4.443750000E1
3.075004687E0,-1.387500000E1,1.668750000E1,-4.387500000E1
3.104975000E0,-1.343750000E1,1.618750000E1,-4.343750000E1
3.124996875E0,-1.425000000E1,1.593750000E1,-4.362500000E1
3.154998437E0,-1.425000000E1,1.631250000E1,-4.343750000E1
3.185001562E0,-1.393750000E1,1.650000000E1,-4.300000000E1
3.215003125E0,-1.350000000E1,1.643750000E1,-4.337500000E1
3.244973437E0,-1.325000000E1,1.568750000E1,-4.356250000E1
3.264996875E0,-1.306250000E1,1.543750000E1,-4.368750000E1
3.294998437E0,-1.287500000E1,1.518750000E1,-4.387500000E1
3.325001562E0,-1.337500000E1,1.562500000E1,-4.393750000E1
3.355003125E0,-1.400000000E1,1.581250000E1,-4.412500000E1
3.385004687E0,-1.356250000E1,1.581250000E1,-4.400000000E1
3.414975000E0,-1.331250000E1,1.581250000E1,-4.387500000E1
3.434996875E0,-1.350000000E1,1.606250000E1,-4.412500000E1
3.465000000E0,-1.381250000E1,1.643750000E1,-4.418750000E1
3.495001562E0,-1.381250000E1,1.656250000E1,-4.368750000E1
3.525003125E0,-1.343750000E1,1.612500000E1,-4.350000000E1
3.554996875E0,-1.368750000E1,1.600000000E1,-4.368750000E1
3.574996875E0,-1.375000000E1,1.568750000E1,-4.337500000E1
3.604998437E0,-1.318750000E1,1.593750000E1,-4.325000000E1
3.635000000E0,-1.318750000E1,1.631250000E1,-4.375000000E1
3.665003125E0,-1.318750000E1,1.618750000E1,-4.443750000E1
3.695004687E0,-1.343750000E1,1.643750000E1,-4.443750000E1
3.724975000E0,-1.362500000E1,1.662500000E1,-4.418750000E1
3.744996875E0,-1.343750000E1,1.668750000E1,-4.368750000E1
3.775000000E0,-1.400000000E1,1.637500000E1,-4.312500000E1
3.805001562E0,-1.400000000E1,1.662500000E1,-4.362500000E1
3.835003125E0,-1.362500000E1,1.643750000E1,-4.431250000E1
3.864975000E0,-1.381250000E1,1.587500000E1,-4.418750000E1
3.884996875E0,-1.387500000E1,1.562500000E1,-4.400000000E1
3.914998437E0,-1.362500000E1,1.593750000E1,-4.393750000E1
3.945000000E0,-1.406250000E1,1.618750000E1,-4.362500000E1
3.975003125E0,-1.393750000E1,1.581250000E1,-4.350000000E1
4.005004687E0,-1.350000000E1,1.556250000E1,-4.387500000E1
4.034976562E0,-1.381250000E1,1.556250000E1,-4.375000000E1
4.054998437E0,-1.356250000E1,1.568750000E1,-4.387500000E1
4.085000000E0,-1.381250000E1,1.637500000E1,-4.418750000E1
4.115001562E0,-1.406250000E1,1.643750000E1,-4.381250000E1
4.145004687E0,-1.331250000E1,1.662500000E1,-4.350000000E1
4.174975000E0,-1.375000000E1,1.650000000E1,-4.362500000E1
4.194996875E0,-1.337500000E1,1.600000000E1,-4.362500000E1
4.224998437E0,-1.262500000E1,1.575000000E1,-4.400000000E1
4.255000000E0,-1.337500000E1,1.543750000E1,-4.431250000E1
4.285003125E0,-1.343750000E1,1.537500000E1,-4.337500000E1
4.315004687E0,-1.325000000E1,1.506250000E1,-4.362500000E1
4.345018750E0,-1.400000000E1,1.581250000E1,-4.381250000E1
4.374978125E0,-1.387500000E1,1.606250000E1,-4.368750000E1
